Entity,Year,CH4 concentration (EEA & NOAA (2019))
World,1750,719.01
World,1755,719.97
World,1760,720.93
World,1765,723.71
World,1770,726.5
World,1775,730.53
World,1780,734.57
World,1785,739.29
World,1790,744.01
World,1795,747.4
World,1800,750.8
World,1805,755.45
World,1810,760.11
World,1815,764.92
World,1820,769.73
World,1825,774.54
World,1830,779.35
World,1835,784.21
World,1840,789.06
World,1845,795.24
World,1850,801.42
World,1855,808.5
World,1860,815.59
World,1865,823.38
World,1870,831.18
World,1875,839.33
World,1880,847.48
World,1885,857.35
World,1890,867.22
World,1895,878.76
World,1900,890.3
World,1905,912.07
World,1910,935.46
World,1915,961.48
World,1920,990.23
World,1925,1020.2
World,1930,1049.05
World,1935,1076.54
World,1940,1102.4
World,1945,1128.83
World,1950,1161.73
World,1955,1207.03
World,1960,1262.97
World,1965,1328.47
World,1970,1403.19
World,1975,1483.57
World,1978,1532.77
World,1979,1549.53
World,1980,1566.28
World,1981,1583.48
World,1982,1600.69
World,1983,1617.89
World,1984,1635.09
World,1985,1652.29
World,1986,1669.49
World,1987,1680.66
World,1988,1698.83
World,1989,1710.52
World,1990,1709.33
World,1991,1729.07
World,1992,1731.05
World,1993,1735.65
World,1994,1741.66
World,1995,1747.1
World,1996,1749.86
World,1997,1753.94
World,1998,1762.43
World,1999,1772.33
World,2000,1774.07
World,2001,1772.95
World,2002,1773.14
World,2003,1777.41
World,2004,1775.44
World,2005,1774.55
World,2006,1776.4
World,2007,1781.75
World,2008,1789.94
World,2009,1793.63
World,2010,1796.84
World,2011,1803.42
World,2012,1810.33
World,2013,1815.44
World,2014,1824.4
World,2015,1834.63
World,2016,1842.4
World,2017,1849.63
World,2018,1857.62
