Entity,Year,Violent deaths in conflicts and one-sided violence (UCDP 2019)
Afghanistan,1989,5411
Afghanistan,1990,1514
Afghanistan,1991,3553
Afghanistan,1992,4385
Afghanistan,1993,4105
Afghanistan,1994,9056
Afghanistan,1995,5618
Afghanistan,1996,3595
Afghanistan,1997,6721
Afghanistan,1998,12174
Afghanistan,1999,5065
Afghanistan,2000,5394
Afghanistan,2001,5553
Afghanistan,2002,1157
Afghanistan,2003,944
Afghanistan,2004,817
Afghanistan,2005,1711
Afghanistan,2006,4982
Afghanistan,2007,7020
Afghanistan,2008,5660
Afghanistan,2009,6499
Afghanistan,2010,7151
Afghanistan,2011,7563
Afghanistan,2012,7823
Afghanistan,2013,8131
Afghanistan,2014,12549
Afghanistan,2015,17987
Afghanistan,2016,18714
Afghanistan,2017,19776
Afghanistan,2018,26888
Albania,1999,6
Algeria,1990,1
Algeria,1991,34
Algeria,1992,274
Algeria,1993,826
Algeria,1994,1943
Algeria,1995,3059
Algeria,1996,1091
Algeria,1997,2008
Algeria,1998,3284
Algeria,1999,1153
Algeria,2000,1178
Algeria,2001,674
Algeria,2002,1058
Algeria,2003,714
Algeria,2004,500
Algeria,2005,232
Algeria,2006,292
Algeria,2007,495
Algeria,2008,345
Algeria,2009,541
Algeria,2010,252
Algeria,2011,276
Algeria,2012,264
Algeria,2013,222
Algeria,2014,111
Algeria,2015,110
Algeria,2016,89
Algeria,2017,77
Algeria,2018,35
Angola,1989,2873
Angola,1990,2609
Angola,1991,526
Angola,1992,2328
Angola,1993,12398
Angola,1994,4009
Angola,1995,215
Angola,1996,75
Angola,1997,95
Angola,1998,1199
Angola,1999,2665
Angola,2000,1206
Angola,2001,2154
Angola,2002,578
Angola,2003,81
Angola,2004,49
Angola,2005,11
Angola,2006,0
Angola,2007,26
Angola,2008,4
Angola,2009,25
Angola,2010,10
Angola,2011,1
Angola,2013,2
Angola,2014,0
Angola,2015,1
Angola,2016,19
Angola,2017,26
Angola,2018,24
Argentina,1992,0
Armenia,1992,85
Armenia,1993,37
Armenia,1994,30
Armenia,1995,8
Armenia,2005,1
Armenia,2006,2
Armenia,2012,9
Armenia,2013,1
Armenia,2015,16
Armenia,2016,4
Armenia,2018,1
Australia,2018,2
Azerbaijan,1991,35
Azerbaijan,1992,2243
Azerbaijan,1993,1197
Azerbaijan,1994,1489
Azerbaijan,1995,54
Azerbaijan,1996,5
Azerbaijan,1997,29
Azerbaijan,1998,34
Azerbaijan,1999,18
Azerbaijan,2000,13
Azerbaijan,2001,6
Azerbaijan,2004,8
Azerbaijan,2005,24
Azerbaijan,2006,5
Azerbaijan,2007,12
Azerbaijan,2008,30
Azerbaijan,2009,7
Azerbaijan,2010,20
Azerbaijan,2011,21
Azerbaijan,2012,16
Azerbaijan,2013,11
Azerbaijan,2014,46
Azerbaijan,2015,63
Azerbaijan,2016,137
Azerbaijan,2017,36
Azerbaijan,2018,16
Bahrain,2011,26
Bangladesh,1989,81
Bangladesh,1990,94
Bangladesh,1991,107
Bangladesh,1992,225
Bangladesh,1993,43
Bangladesh,1994,32
Bangladesh,1995,14
Bangladesh,1996,46
Bangladesh,1997,16
Bangladesh,1998,21
Bangladesh,1999,14
Bangladesh,2000,105
Bangladesh,2001,62
Bangladesh,2002,6
Bangladesh,2003,8
Bangladesh,2004,51
Bangladesh,2005,80
Bangladesh,2006,96
Bangladesh,2007,18
Bangladesh,2008,13
Bangladesh,2009,10
Bangladesh,2010,5
Bangladesh,2011,0
Bangladesh,2012,2
Bangladesh,2013,54
Bangladesh,2014,2
Bangladesh,2015,10
Bangladesh,2016,73
Bangladesh,2017,48
Bangladesh,2018,26
Belgium,2016,34
Belgium,2018,4
Bhutan,1997,4
Bhutan,2004,0
Bolivia,1998,2
Bolivia,2000,50
Bosnia and Herzegovina,1992,7629
Bosnia and Herzegovina,1993,5812
Bosnia and Herzegovina,1994,3137
Bosnia and Herzegovina,1995,9755
Botswana,1990,1
Brazil,1993,42
Brazil,1994,29
Brazil,1995,51
Brazil,1996,20
Brazil,1997,33
Brazil,1998,13
Brazil,1999,59
Brazil,2000,33
Brazil,2001,74
Brazil,2002,61
Brazil,2003,43
Brazil,2004,86
Brazil,2005,54
Brazil,2006,22
Brazil,2007,40
Brazil,2008,20
Brazil,2009,40
Brazil,2010,4
Brazil,2011,31
Brazil,2012,11
Brazil,2013,4
Brazil,2014,1
Brazil,2015,15
Brazil,2016,12
Brazil,2017,309
Brazil,2018,440
Burkina Faso,2016,26
Burkina Faso,2017,45
Burkina Faso,2018,135
Burundi,1990,7
Burundi,1991,278
Burundi,1992,61
