Entity,Year,"Male minus female life expectation, age 0 - HMD","Male minus female life expectation, age 15 - HMD","Male minus female life expectation, age 45 - HMD"
France,1836,-1.549999237060547,-.6099967956542969,-.7999992370605469
France,1841,-2.049999237060547,-1.80999755859375,-.6000003814697266
France,1846,-1.229999542236328,-.5799980163574219,-.5600013732910156
France,1851,-1.200000762939453,-.2800025939941406,-.7300014495849609
France,1856,-2.189998626708984,-1.739997863769531,-.5999984741210938
France,1861,-.8799972534179688,.0499992370605469,-.7399997711181641
France,1866,-1.459999084472656,-.6599998474121094,-1.35999870300293
France,1872,-2.19000244140625,-1.389999389648438,-1.389999389648438
France,1876,-2.19000244140625,-1.569999694824219,-1.539999008178711
France,1881,-2.279998779296875,-1.540000915527344,-1.409999847412109
France,1886,-2.580001831054688,-1.710002899169922,-1.510000228881836
France,1891,-2.810001373291016,-1.850002288818359,-1.460000991821289
France,1896,-3.19000244140625,-2.380001068115234,-1.870000839233398
France,1901,-3.630001068115234,-2.700000762939453,-2.389999389648438
France,1906,-3.779998779296875,-2.930000305175781,-2.649999618530273
France,1911,-3.810001373291016,-3.229999542236328,-2.659999847412109
France,1921,-4.139999389648438,-3.240001678466797,-2.740001678466797
France,1926,-4.409999847412109,-3.590000152587891,-3.260000228881836
France,1931,-4.729999542236328,-3.959999084472656,-3.420000076293945
France,1936,-5.869998931884766,-5.069999694824219,-4.010000228881836
France,1946,-5.30999755859375,-4.200000762939453,-3.64000129699707
France,1962,-6.910003662109375,-6.450000762939453,-5.419998168945313
France,1968,-7.459999084472656,-7.159999847412109,-6.010000228881836
France,1975,-7.850006103515625,-7.610000610351563,-6.409997940063477
France,1982,-8.180000305175781,-7.999996185302734,-6.769998550415039
France,1990,-8.25,-8.080001831054688,-6.69999885559082
France,1999,-7.579994201660156,-7.5,-6.479999542236328
Sweden,1860,-3.680000305175781,-3.129997253417969,-2.35999870300293
Sweden,1870,-3.619998931884766,-2.949996948242188,-2.25
Sweden,1880,-2.970001220703125,-2.310001373291016,-1.969999313354492
Sweden,1890,-2.689998626708984,-1.909999847412109,-1.700000762939453
Sweden,1900,-2.830001831054688,-2.029998779296875,-1.900001525878906
Sweden,1910,-2.599998474121094,-1.75,-1.680000305175781
Sweden,1920,-2.659999847412109,-1.789997100830078,-1.270000457763672
Sweden,1930,-2.060001373291016,-1.060001373291016,-1
Sweden,1940,-2.75,-1.969997406005859,-1.350000381469727
Sweden,1950,-2.590003967285156,-2.040000915527344,-1.489999771118164
Sweden,1960,-3.639999389648438,-3.229999542236328,-2.570001602172852
Sweden,1970,-4.979995727539063,-4.680000305175781,-3.910001754760742
Sweden,1980,-6.069999694824219,-5.899997711181641,-5.129999160766602
Sweden,1990,-5.590003967285156,-5.470001220703125,-4.810001373291016
Sweden,2000,-4.639999389648438,-4.560001373291016,-3.990001678466797
Sweden,2010,-3.950004577636719,-3.949996948242188,-3.460002899169922
United Kingdom,1841,-2.040000915527344,-.7199974060058594,-1.280000686645508
United Kingdom,1851,-1.959999084472656,-.7100028991699219,-1.239999771118164
United Kingdom,1861,-2.320003509521484,-1.159999847412109,-1.549999237060547
United Kingdom,1871,-3.090000152587891,-2.229999542236328,-1.75
United Kingdom,1881,-3.110000610351563,-2.119998931884766,-2.05000114440918
United Kingdom,1891,-3.489997863769531,-2.409999847412109,-2.060001373291016
United Kingdom,1901,-3.840000152587891,-2.829998016357422,-2.270000457763672
United Kingdom,1911,-3.919998168945313,-2.949996948242188,-2.409999847412109
United Kingdom,1921,-3.950000762939453,-2.909999847412109,-2.55000114440918
United Kingdom,1931,-4.159999847412109,-3.009998321533203,-2.739999771118164
United Kingdom,1941,-6.149997711181641,-5.400001525878906,-3.659999847412109
United Kingdom,1951,-5.1199951171875,-4.579998016357422,-4.280000686645508
United Kingdom,1961,-5.860000610351563,-5.490001678466797,-4.970001220703125
United Kingdom,1971,-6.279998779296875,-5.939998626708984,-5.44999885559082
United Kingdom,1981,-5.989997863769531,-5.759998321533203,-5.260002136230469
United Kingdom,1991,-5.5,-5.360000610351563,-4.710000991821289
United Kingdom,2001,-4.650001525878906,-4.579998016357422,-3.949996948242188
United Kingdom,2011,-3.889999389648438,-3.790000915527344,-3.299999237060547
