Entity,Year,"Ease of Doing Business Rank (World Bank, 2018)","Gross national income per capita (World Bank, 2018)"
Afghanistan,2018,183,580
Albania,2018,65,4250
Algeria,2018,166,4270
Angola,2018,175,3440
Antigua and Barbuda,2018,107,13400
Argentina,2018,117,11960
Armenia,2018,47,3760
Australia,2018,14,54420
Austria,2018,22,45230
Azerbaijan,2018,57,4760
Bahamas,2018,119,21020
Bahrain,2018,66,22858
Bangladesh,2018,177,1330
Barbados,2018,132,14830
Belarus,2018,38,5600
Belgium,2018,52,41860
Belize,2018,121,4410
Benin,2018,151,820
Bhutan,2018,75,2510
Bolivia,2018,152,3070
Bosnia and Herzegovina,2018,86,4880
Botswana,2018,81,6610
Brazil,2018,125,8840
Brunei,2018,56,32840
Bulgaria,2018,50,7470
Burkina Faso,2018,148,640
Burundi,2018,164,280
Cambodia,2018,135,1140
Cameroon,2018,163,1200
Canada,2018,18,43660
Cape Verde,2018,127,2970
Central African Republic,2018,184,370
Chad,2018,180,720
Chile,2018,55,13530
China,2018,78,8260
Colombia,2018,59,6320
Comoros,2018,158,760
Congo,2018,179,1710
Costa Rica,2018,61,10840
Cote d'Ivoire,2018,139,1520
Croatia,2018,51,12110
Cyprus,2018,53,23680
Czech Republic,2018,30,17570
Democratic Republic of Congo,2018,182,420
Denmark,2018,3,56730
Djibouti,2018,154,1908
Dominica,2018,98,6750
Dominican Republic,2018,99,6390
Ecuador,2018,118,5820
Egypt,2018,128,3460
El Salvador,2018,73,3920
Equatorial Guinea,2018,173,6550
Eritrea,2018,189,823
Estonia,2018,12,17750
Ethiopia,2018,161,660
Fiji,2018,101,4840
Finland,2018,13,44730
France,2018,31,38950
Gabon,2018,167,7210
Gambia,2018,146,440
Georgia,2018,9,3810
Germany,2018,20,43660
Ghana,2018,120,1380
Greece,2018,67,18960
Grenada,2018,142,8830
Guatemala,2018,97,3790
Guinea,2018,153,490
Guinea-Bissau,2018,176,620
Guyana,2018,126,4250
Haiti,2018,181,780
Honduras,2018,115,2150
Hong Kong,2018,5,43240
Hungary,2018,48,12570
Iceland,2018,23,56990
India,2018,100,1680
Indonesia,2018,72,3400
Iran,2018,124,4683
Iraq,2018,168,5430
Ireland,2018,17,52560
Israel,2018,54,36190
Italy,2018,46,31590
Jamaica,2018,70,4660
Japan,2018,34,38000
Jordan,2018,103,3920
Kazakhstan,2018,36,8710
Kenya,2018,80,1380
Kiribati,2018,157,2380
Kosovo,2018,40,3850
Kuwait,2018,96,39050
Kyrgyzstan,2018,77,1100
Laos,2018,141,2150
Latvia,2018,19,14630
Lebanon,2018,133,7680
Lesotho,2018,104,1210
Liberia,2018,172,370
Libya,2018,185,5193
Lithuania,2018,16,14770
Luxembourg,2018,63,76660
Macedonia,2018,11,4980
Madagascar,2018,162,400
Malawi,2018,110,320
Malaysia,2018,24,9850
Maldives,2018,136,7430
Mali,2018,143,750
Malta,2018,84,24140
Marshall Islands,2018,149,4450
Mauritania,2018,150,1120
Mauritius,2018,25,9760
Mexico,2018,49,9040
Micronesia (country),2018,155,3680
Moldova,2018,44,2120
Mongolia,2018,62,3550
Montenegro,2018,42,6970
Morocco,2018,69,2850
Mozambique,2018,138,480
Myanmar,2018,171,1315
Namibia,2018,106,4620
Nepal,2018,105,730
Netherlands,2018,32,46310
New Zealand,2018,1,39070
Nicaragua,2018,131,2050
Niger,2018,144,370
Nigeria,2018,145,2450
Norway,2018,8,82330
Oman,2018,71,15871
Pakistan,2018,147,1510
Palau,2018,130,12450
Palestine,2018,114,3230
Panama,2018,79,12140
Papua New Guinea,2018,109,2528
Paraguay,2018,108,4070
Peru,2018,58,5950
Philippines,2018,113,3580
Poland,2018,27,12680
Portugal,2018,29,19850
Puerto Rico,2018,64,29697
Qatar,2018,83,67630
Romania,2018,45,9470
Russia,2018,35,9720
Rwanda,2018,41,700
Saint Kitts and Nevis,2018,134,15850
Saint Lucia,2018,91,7670
Saint Vincent and the Grenadines,2018,129,6790
Samoa,2018,87,4100
San Marino,2018,93,46447
Sao Tome and Principe,2018,169,1730
Saudi Arabia,2018,92,21750
Senegal,2018,140,950
Serbia,2018,43,5280
Seychelles,2018,95,15410
Sierra Leone,2018,160,490
Singapore,2018,2,51880
Slovakia,2018,39,16810
Slovenia,2018,37,21660
Solomon Islands,2018,116,1880
Somalia,2018,190,442
South Africa,2018,82,5480
South Korea,2018,4,27600
South Sudan,2018,187,182
Spain,2018,28,27520
Sri Lanka,2018,111,3780
Sudan,2018,170,2140
Suriname,2018,165,7070
Swaziland,2018,112,2830
Sweden,2018,10,54630
Switzerland,2018,33,81240
Syria,2018,174,1037
Taiwan,2018,15,23284
Tajikistan,2018,123,1110
Tanzania,2018,137,900
Thailand,2018,26,5640
Timor,2018,178,1861
Togo,2018,156,540
Tonga,2018,89,4020
Trinidad and Tobago,2018,102,15680
Tunisia,2018,88,3690
Turkey,2018,60,11180
Uganda,2018,122,660
Ukraine,2018,76,2310
United Arab Emirates,2018,21,40480
United Kingdom,2018,7,42390
United States,2018,6,56180
Uruguay,2018,94,15230
Uzbekistan,2018,74,2220
Vanuatu,2018,90,2815
Venezuela,2018,188,9258
Vietnam,2018,68,2050
Yemen,2018,186,1040
Zambia,2018,85,1300
Zimbabwe,2018,159,940
