Entity,Year,"Land Use per kilogram (Poore & Nemecek, 2018)","GHG per kilogram (Poore & Nemecek, 2018)","Eutrophying emissions per kilogram (Poore & Nemecek, 2018)","Freshwater withdrawals per kilogram (Poore & Nemecek, 2018)","Scarcity-weighted water withdrawals per kilogram (Poore & Nemecek, 2018)","Land Use per 100g protein (Poore & Nemecek, 2018)","GHG per 100g protein (Poore & Nemecek, 2018)","Eutrophying emissions per 100g protein (Poore & Nemecek, 2018)","Freshwater withdrawals per 100g protein (Poore & Nemecek, 2018)","Scarcity-weighted water withdrawals per 100g protein (Poore & Nemecek, 2018)","Land Use per 1000kcal (Poore & Nemecek, 2018)","GHG per per 1000kcal (Poore & Nemecek, 2018)","Eutrophying emissions per per 1000kcal (Poore & Nemecek, 2018)","Freshwater withdrawals per per 1000kcal (Poore & Nemecek, 2018)","Scarcity-weighted water withdrawals per 1000kcal (Poore & Nemecek, 2018)"
Apples,2018,0.63,0.43,1.45,180.1,12948.6,,,,,,,,,,
Bananas,2018,1.93,0.86,3.29,114.5,661.9,,,,,,,,,,
Barley,2018,1.11,1.18,2.33,17.1,696.4,,,,,,0.22,0.24,0.47,3,139
Beef (beef herd),2018,326.21,99.48,301.41,1451.2,34732.5,163.6,49.9,151.2,727.8,17418.5,,,,,
Beef (dairy herd),2018,43.24,33.3,365.29,2714.3,119805.2,21.9,16.9,185.1,1375.0,60691.6,,,,,
Beet Sugar,2018,1.83,1.81,5.41,217.7,9493.3,,,,,,,,,,
Berries & Grapes,2018,2.41,1.53,6.12,419.6,21162.1,,,,,,,,,,
Brassicas,2018,0.55,0.51,5.01,119.4,8455.1,,,,,,,,,,
Cane Sugar,2018,2.04,3.2,16.92,620.1,16438.6,,,,,,,,,,
Cassava,2018,1.81,1.32,0.69,0,0,,,,,,1.86,1.36,0.71,0,0
Cheese,2018,87.79,23.88,98.37,5605.2,180850.6,39.8,10.8,44.6,2538.6,81907.0,,,,,
Citrus Fruit,2018,0.86,0.39,2.24,82.7,4662.7,,,,,,,,,,
Coffee,2018,21.62,28.53,110.52,25.9,337,,,,,,,,,,
Crustaceans (farmed),2018,2.97,26.87,227.22,3515.4,127259,2.0,18.2,153.8,2380.1,86160.5,,,,,
Dark Chocolate,2018,68.96,46.65,87.08,540.6,2879.2,,,,,,,,,,
Eggs,2018,6.27,4.67,21.76,577.7,17982.7,5.7,4.2,19.6,520.6,16206.5,,,,,
Fish (farmed),2018,8.41,13.63,235.12,3691.3,41572.2,3.7,6.0,103.1,1618.6,18229.4,,,,,
Grains,2018,,,,,,4.6,2.7,,,,,,,,
Groundnuts,2018,9.11,3.23,14.14,1852.3,61797.9,3.5,1.2,5.4,707.5,23605.0,,,,,
Lamb & Mutton,2018,369.81,39.72,97.13,1802.8,141925,184.8,19.9,48.5,900.9,70927.0,,,,,
Maize,2018,2.94,1.7,4.03,215.7,10863.3,,,,,,0.65,0.38,0.89,48,2402
Milk,2018,8.95,3.15,10.65,628.2,19786.3,9.0,3.2,10.7,628.2,19786.3,,,,,
Nuts,2018,12.96,0.43,19.15,4133.8,229889.8,7.9,0.3,11.7,2531.4,140777.6,,,,,
Oatmeal,2018,7.6,2.48,11.23,482.4,18786.2,,,,,,2.90,0.95,4.28,184,7162
Olive Oil,2018,26.31,5.42,37.26,2141.8,177480.2,,,,,,,,,,
Onions & Leeks,2018,0.39,0.5,3.24,14.3,932,,,,,,,,,,
Other Fruit,2018,0.89,1.05,2.43,153.5,9533.1,,,,,,,,,,
Other Pulses,2018,15.57,1.79,17.08,435.7,22477.4,7.3,0.8,8.0,203.5,10498.6,,,,,
Other Vegetables,2018,0.38,0.53,2.27,102.5,4911.4,,,,,,,,,,
Palm Oil,2018,2.42,7.32,10.67,6.4,36.2,,,,,,,,,,
Peas,2018,7.46,0.98,7.52,396.6,27948.2,3.4,0.4,3.4,178.5,12577.9,,,,,
Pig Meat,2018,17.36,12.31,76.38,1795.8,66867.4,10.7,7.6,47.2,1109.9,41327.2,,,,,
Potatoes,2018,0.88,0.46,3.48,59.1,2754.2,,,,,,1.20,0.63,4.75,81,3763
Poultry Meat,2018,12.22,9.87,48.7,660,14177.9,7.1,5.7,28.1,381.1,8185.9,,,,,
Rapeseed Oil,2018,10.63,3.77,19.19,237.7,10593.7,,,,,,,,,,
Rice,2018,2.8,4.45,35.07,2248.4,49576.3,,,,,,0.76,1.21,9.51,610,13450
Root Vegetables,2018,0.33,0.43,1.61,28.4,929.2,,,,,,,,,,
Soybean Oil,2018,10.52,6.32,11.69,414.6,14888.2,,,,,,,,,,
Soymilk,2018,0.66,0.98,1.06,27.8,955.6,,,,,,,,,,
Sunflower Oil,2018,17.66,3.6,50.66,1007.9,36369.4,,,,,,,,,,
Tofu (soybeans),2018,3.52,3.16,6.16,148.6,5113.2,2.2,1.975,3.85,92.875,3195.75,,,,,
Tomatoes,2018,0.8,2.09,7.51,369.8,5335.7,,,,,,,,,,
Wheat & Rye,2018,3.85,1.57,7.16,647.5,33385.6,,,,,,1.44,0.59,2.68,242,12479
Wine,2018,1.78,1.79,4.57,78.9,1149.3,,,,,,,,,,
