Entity,Year,All cancers,Brain and nervous system,Breast cancer,Cervix Uteri cancer,Colon and rectum cancer,Esophagal cancer,Leukemia,Lung and bronchus cancer,Liver cancer,Myeloma,Pancreatic cancer,Prostate cancer,Stomach cancer,Thyroid cancer,Bladder cancer,Ovarian cancer,Skin cancer
"All races, females",1977,55.9,24.8,74.8,69.1,50.6,7.5,35.6,15.3,6.3,25.3,2.2,,16.6,92.5,68.3,36,86.3
"All races, females",1980,55,25.1,74.4,67.4,52.2,5.6,37.3,16.3,5.4,27.5,3,,18.9,93.6,70.4,37.7,87.7
"All races, females",1983,55.1,25.5,76.1,66.9,54.2,8.2,37.8,16.4,5.2,29.4,3.1,,18.7,93.9,72.7,38.9,87.3
"All races, females",1986,57.6,28.5,78.9,67.2,57.6,12.1,41.1,16,9.5,26.9,3.5,,20.9,94.3,72.7,38.4,91
"All races, females",1989,59.6,31,84,70.1,59.3,9.5,41.3,15,8,25.5,3.7,,24.3,95.2,71.9,38.2,91.5
"All races, females",1992,60.9,29.7,85.2,69.6,61.3,13.4,46,15.9,7,27.9,4.5,,25.4,95.5,71.9,40.5,91.8
"All races, females",1995,61.8,31.3,86.4,72.6,60,11.7,46.4,16.9,6.1,31,4.3,,22.6,96.7,75,41.5,92.6
"All races, females",1998,63.6,32,88.2,72.6,62.5,14.4,48,16.8,9.1,30.3,4.1,,24.2,96.9,75.4,43.9,92.7
"All races, females",2001,65.7,37.6,89.7,72.4,64.1,19.5,49.5,17.9,12.2,31.9,5,,25.2,97.1,77.3,43.9,94.6
"All races, females",2006,66.9,36,90.2,69.5,66,18.9,58.9,19.2,15.6,42.9,6.5,,30.8,98.4,74.8,44.3,95.2
"All races, females",2013,69.1,36.2,91.1,68.8,66.6,22.3,61.7,22.6,17.8,51.8,8.3,,34.6,98.7,74.4,46.7,95.7
"All races, males",1977,41.7,20.7,,,49,4,33,11.1,1.8,23.9,2.6,67.8,14.4,91.1,73.7,,77.5
"All races, males",1980,43.1,22.4,,,50.2,4.8,35,11.3,2.2,24.4,2.7,70.1,14.3,87.2,75.1,,77.7
