Entity,Year,Energy Consumption by Region (BP Statistics (2016))
Africa,1965,59.74038613
Africa,1966,62.45212694
Africa,1967,62.88454604
Africa,1968,66.29658538
Africa,1969,67.56106289
Africa,1970,73.32289215
Africa,1971,79.93578201
Africa,1972,85.13251553
Africa,1973,91.54023694
Africa,1974,96.20926321
Africa,1975,102.1118893
Africa,1976,111.5820961
Africa,1977,117.302263
Africa,1978,121.622226
Africa,1979,132.8189579
Africa,1980,144.2542934
Africa,1981,161.0220056
Africa,1982,172.8445612
Africa,1983,177.4655131
Africa,1984,183.5162746
Africa,1985,190.2989762
Africa,1986,195.4692033
Africa,1987,200.4268982
Africa,1988,215.7175582
Africa,1989,216.0696268
Africa,1990,222.4105271
Africa,1991,221.784412
Africa,1992,226.4765424
Africa,1993,227.8898066
Africa,1994,234.8412786
Africa,1995,244.6157048
Africa,1996,251.2401693
Africa,1997,256.4867238
Africa,1998,260.790235
Africa,1999,269.0657056
Africa,2000,274.1817056
Africa,2001,284.2266343
Africa,2002,287.2851775
Africa,2003,302.1216099
Africa,2004,325.0714481
Africa,2005,328.4910717
Africa,2006,335.0812728
Africa,2007,348.9912169
Africa,2008,371.138634
Africa,2009,373.1436449
Africa,2010,390.1565581
Africa,2011,390.1488347
Africa,2012,405.3933743
Africa,2013,413.6190563
Africa,2014,428.2368207
Africa,2015,434.9984945
Asia Pacific,1965,441.3207778
Asia Pacific,1966,482.6229693
Asia Pacific,1967,506.0445775
Asia Pacific,1968,544.1308119
Asia Pacific,1969,619.9663982
Asia Pacific,1970,704.2565286
Asia Pacific,1971,770.0119609
Asia Pacific,1972,816.0066357
Asia Pacific,1973,883.0869051
Asia Pacific,1974,900.0158302
Asia Pacific,1975,933.3468588
Asia Pacific,1976,980.2927894
Asia Pacific,1977,1034.412769
Asia Pacific,1978,1099.55192
Asia Pacific,1979,1149.932839
Asia Pacific,1980,1161.904648
Asia Pacific,1981,1169.116134
Asia Pacific,1982,1179.354416
Asia Pacific,1983,1231.454714
Asia Pacific,1984,1316.101669
Asia Pacific,1985,1382.644918
Asia Pacific,1986,1444.357954
Asia Pacific,1987,1527.389382
Asia Pacific,1988,1637.29275
Asia Pacific,1989,1728.103147
Asia Pacific,1990,1797.773313
Asia Pacific,1991,1881.025317
Asia Pacific,1992,1966.53503
Asia Pacific,1993,2069.962952
Asia Pacific,1994,2182.682727
Asia Pacific,1995,2283.879283
Asia Pacific,1996,2390.73424
Asia Pacific,1997,2462.166762
Asia Pacific,1998,2460.062457
Asia Pacific,1999,2553.195096
Asia Pacific,2000,2646.305982
Asia Pacific,2001,2736.361601
Asia Pacific,2002,2880.001079
Asia Pacific,2003,3122.165035
Asia Pacific,2004,3420.625861
Asia Pacific,2005,3705.689614
Asia Pacific,2006,3927.073683
Asia Pacific,2007,4174.855922
Asia Pacific,2008,4292.899462
Asia Pacific,2009,4403.852566
Asia Pacific,2010,4686.825635
Asia Pacific,2011,4931.61454
Asia Pacific,2012,5098.890997
Asia Pacific,2013,5255.890862
Asia Pacific,2014,5386.614422
Asia Pacific,2015,5498.529849
Europe and Eurasia,1965,1645.32145
Europe and Eurasia,1966,1714.096441
Europe and Eurasia,1967,1776.980782
Europe and Eurasia,1968,1874.881567
Europe and Eurasia,1969,1994.964984
Europe and Eurasia,1970,2113.051032
Europe and Eurasia,1971,2185.890194
Europe and Eurasia,1972,2289.822148
Europe and Eurasia,1973,2416.183882
Europe and Eurasia,1974,2441.500086
Europe and Eurasia,1975,2468.818624
Europe and Eurasia,1976,2595.178948
Europe and Eurasia,1977,2664.077924
Europe and Eurasia,1978,2758.059422
Europe and Eurasia,1979,2851.972125
Europe and Eurasia,1980,2834.357591
Europe and Eurasia,1981,2815.204882
