Entity,Year,HALF Index (total land area) (Alexander et al. (2016)),HALF Index (habitable land area) (Alexander et al. (2016))
Afghanistan,2011,23.84,33.6
Albania,2011,64.65,91.1
Algeria,2011,34.79,49.0
Angola,2011,21.08,29.7
Antigua and Barbuda,2011,46.07,64.9
Argentina,2011,114.88,161.8
Armenia,2011,56.5,79.6
Australia,2011,112.2,158.0
Austria,2011,79.72,112.3
Azerbaijan,2011,48.51,68.3
Bahamas,2011,50.87,71.6
Bangladesh,2011,10.6,14.9
Barbados,2011,47.58,67.0
Belarus,2011,57.89,81.5
Belgium,2011,74.16,104.5
Belize,2011,26.79,37.7
Benin,2011,15.71,22.1
Bermuda,2011,110.75,156.0
Bolivia,2011,50.04,70.5
Bosnia and Herzegovina,2011,37.87,53.3
Botswana,2011,39.8,56.1
Brazil,2011,88.18,124.2
Brunei,2011,40.33,56.8
Bulgaria,2011,33.28,46.9
Burkina Faso,2011,33.67,47.4
Cabo Verde,2011,28.06,39.5
Cambodia,2011,16.03,22.6
Cameroon,2011,25.15,35.4
Canada,2011,92.16,129.8
Central African Republic,2011,52.86,74.5
Chad,2011,28.19,39.7
Chile,2011,54.54,76.8
China,2011,28.56,40.2
Colombia,2011,44.77,63.1
Congo,2011,21.43,30.2
Costa Rica,2011,53.41,75.2
Cote d'Ivoire,2011,19.48,27.4
Croatia,2011,48.25,68.0
Cuba,2011,35.22,49.6
Cyprus,2011,39.84,56.1
Czech Republic,2011,52.38,73.8
Denmark,2011,96.6,136.1
Djibouti,2011,29.13,41.0
Dominica,2011,40.61,57.2
Dominican Republic,2011,32.27,45.5
Ecuador,2011,53.56,75.4
Egypt,2011,37.92,53.4
El Salvador,2011,29.23,41.2
Estonia,2011,52.9,74.5
Ethiopia,2011,19.1,26.9
Fiji,2011,39.29,55.3
Finland,2011,76.93,108.4
France,2011,86.72,122.1
French Polynesia,2011,86.51,121.8
Gabon,2011,41.71,58.7
Gambia,2011,19.88,28.0
Georgia,2011,31.35,44.2
Germany,2011,70.1,98.7
Ghana,2011,18.64,26.3
Greece,2011,81.07,114.2
Grenada,2011,29.8,42.0
Guatemala,2011,21.43,30.2
Guinea,2011,17,23.9
Guinea-Bissau,2011,16.75,23.6
Guyana,2011,21.38,30.1
Haiti,2011,17.03,24.0
Honduras,2011,27.98,39.4
Hungary,2011,44.06,62.1
Iceland,2011,85.02,119.7
India,2011,15.76,22.2
Indonesia,2011,12.97,18.3
Iran,2011,29.52,41.6
Iraq,2011,14.82,20.9
Ireland,2011,75.1,105.8
Israel,2011,74.22,104.5
Italy,2011,82.82,116.6
Jamaica,2011,26.71,37.6
Japan,2011,30.33,42.7
Jordan,2011,33.02,46.5
Kazakhstan,2011,77.04,108.5
Kenya,2011,34.66,48.8
Kiribati,2011,20.69,29.1
Kuwait,2011,47.38,66.7
Kyrgyzstan,2011,53.36,75.2
Laos,2011,21.33,30.0
Latvia,2011,50.2,70.7
Lebanon,2011,48.5,68.3
Lesotho,2011,26.09,36.7
Liberia,2011,9.54,13.4
Lithuania,2011,49.27,69.4
Luxembourg,2011,89.82,126.5
Macedonia,2011,39.23,55.3
Madagascar,2011,21.21,29.9
Malawi,2011,12.88,18.1
Malaysia,2011,22.74,32.0
Maldives,2011,27.61,38.9
Mali,2011,44.14,62.2
Malta,2011,70.48,99.3
Mauritania,2011,47,66.2
Mauritius,2011,32.37,45.6
Mexico,2011,46.39,65.3
Moldova,2011,20.75,29.2
Mongolia,2011,99.29,139.8
Montenegro,2011,54.62,76.9
Morocco,2011,32.22,45.4
Mozambique,2011,9.43,13.3
Myanmar,2011,21.82,30.7
Namibia,2011,38.25,53.9
Nepal,2011,26.63,37.5
Netherlands,2011,70.92,99.9
New Caledonia,2011,55.28,77.9
New Zealand,2011,135.76,191.2
Nicaragua,2011,22.57,31.8
Niger,2011,43.84,61.7
Nigeria,2011,18.26,25.7
North Korea,2011,15.08,21.2
Norway,2011,75.82,106.8
Oman,2011,53.38,75.2
Pakistan,2011,35.65,50.2
