Entity,Year,Historical urban fraction estimate per region (HYDE 3.1 (2010)),Total urban area per world region (HYDE 3.1 (2010)),Historical rural fraction estimate per region (HYDE 3.1 (2010))
Antarctica,-10000,0,,100
Antarctica,-5000,0,,100
Antarctica,0,0,,100
Antarctica,500,0,,100
Antarctica,1000,0,,100
Antarctica,1500,0,,100
Antarctica,1600,0,,100
Antarctica,1700,0,,100
Antarctica,1800,0,,100
Antarctica,1900,0,,100
Antarctica,1950,0,,100
Antarctica,2000,0,,100
Asia-Stan,-10000,0,0,100
Asia-Stan,-5000,0,0,100
Asia-Stan,0,0,0,100
Asia-Stan,500,0,0,100
Asia-Stan,1000,0,0,100
Asia-Stan,1500,.1,3,99.900002
Asia-Stan,1600,.30000001,10,99.699997
Asia-Stan,1700,.80000001,29,99.199997
Asia-Stan,1800,1.6,40,98.400002
Asia-Stan,1900,11.8,373,88.199997
Asia-Stan,1950,33.599998,1499,66.400002
Asia-Stan,2000,41.700001,5791,58.299999
Brazil,-10000,0,0,100
Brazil,-5000,0,0,100
Brazil,0,0,0,100
Brazil,500,0,0,100
Brazil,1000,0,0,100
Brazil,1500,.40000001,9,99.599998
Brazil,1600,1.2,22,98.800003
Brazil,1700,3.5999999,72,96.400002
Brazil,1800,9.1999998,163,90.800003
Brazil,1900,22.9,843,77.099998
Brazil,1950,36.200001,3145,63.799999
Brazil,2000,81.199997,22168,18.800003
Canada,-10000,0,0,100
Canada,-5000,0,0,100
Canada,0,0,0,100
Canada,500,0,0,100
Canada,1000,0,0,100
Canada,1500,.2,0,99.800003
Canada,1600,.69999999,0,99.300003
Canada,1700,2,1,98
Canada,1800,7.9000001,7,92.099998
Canada,1900,37.5,193,62.5
Canada,1950,60.900002,1126,39.099998
Canada,2000,79.5,6030,20.5
Central Europe,-10000,0,0,100
Central Europe,-5000,0,0,100
Central Europe,0,0,0,100
Central Europe,500,0,0,100
Central Europe,1000,0,10,100
Central Europe,1500,3.2,1657,96.800003
Central Europe,1600,3.9000001,2286,96.099998
Central Europe,1700,3.2,1419,96.800003
Central Europe,1800,4.3000002,1403,95.699997
Central Europe,1900,18.700001,4182,81.300003
Central Europe,1950,34.599998,6495,65.400002
Central Europe,2000,60,17088,40
China,-10000,0,0,100
China,-5000,.30000001,52,99.699997
China,0,1,1310,99
China,500,3.2,2300,96.800003
China,1000,5,2861,95
China,1500,6.5,4013,93.5
China,1600,7,5762,93
China,1700,5.9000001,3916,94.099998
China,1800,6,3923,94
China,1900,6.5999999,2846,93.400002
China,1950,13.4,7005,86.599998
China,2000,36.900002,43199,63.099998
