Entity,Year,Share who think homosexuality should not be accepted by society
Angola,2002,62
Argentina,2002,26
Argentina,2007,21
Argentina,2013,21
Australia,2013,18
Bangladesh,2002,87
Bangladesh,2007,84
Bolivia,2002,40
Bolivia,2007,49
Bolivia,2013,49
Brazil,2002,42
Brazil,2007,30
Brazil,2011,34
Brazil,2013,36
Bulgaria,2002,36
Bulgaria,2007,38
Canada,2002,26
Canada,2007,21
Canada,2013,14
Chile,2007,31
Chile,2013,24
China,2007,69
China,2011,61
China,2013,57
Cote d'Ivoire,2002,84
Cote d'Ivoire,2007,89
Czech Republic,2002,16
Czech Republic,2007,16
Czech Republic,2013,16
Egypt,2007,95
Egypt,2011,89
Egypt,2013,95
El Salvador,2013,62
Ethiopia,2007,97
France,2002,21
France,2007,17
France,2011,14
France,2013,22
Germany,2002,14
Germany,2007,17
Germany,2011,12
Germany,2013,11
Ghana,2002,93
Ghana,2007,94
Ghana,2013,96
Greece,2013,40
Guatemala,2002,50
Honduras,2002,55
India,2002,63
India,2007,81
Indonesia,2002,93
Indonesia,2007,95
Indonesia,2011,89
Indonesia,2013,93
Israel,2007,50
Israel,2011,41
Israel,2013,47
Italy,2002,20
Italy,2007,23
Italy,2013,18
Japan,2002,34
Japan,2007,28
Japan,2011,34
Japan,2013,36
Jordan,2002,88
Jordan,2007,89
Jordan,2011,92
Jordan,2013,97
Kenya,2002,99
Kenya,2007,96
Kenya,2011,96
Kenya,2013,90
Kuwait,2007,85
Lebanon,2002,76
Lebanon,2007,79
Lebanon,2011,81
Lebanon,2013,80
Lithuania,2011,67
Malaysia,2007,83
Malaysia,2013,86
Mali,2002,96
Mali,2007,98
Mexico,2002,39
Mexico,2007,31
Mexico,2011,40
Mexico,2013,30
Nigeria,2002,95
Nigeria,2007,97
Nigeria,2013,98
Pakistan,2002,56
Pakistan,2011,68
Pakistan,2013,87
Palestine,2007,58
Palestine,2011,87
Palestine,2013,93
Peru,2002,49
Peru,2007,43
Philippines,2002,33
Philippines,2013,26
Poland,2002,48
Poland,2007,41
Poland,2011,55
Poland,2013,46
Russia,2002,60
Russia,2007,64
Russia,2011,74
Russia,2013,74
Senegal,2002,98
Senegal,2007,97
Senegal,2013,96
Slovakia,2002,30
Slovakia,2007,29
South Africa,2002,63
South Africa,2007,64
South Africa,2013,61
South Korea,2002,69
South Korea,2007,77
South Korea,2013,59
Spain,2007,9
Spain,2011,8
Spain,2013,11
Sweden,2007,9
Tanzania,2007,95
Tunisia,2013,94
Turkey,2002,66
Turkey,2007,57
Turkey,2011,72
Turkey,2013,78
Uganda,2002,95
Uganda,2007,96
Uganda,2013,96
Ukraine,2002,77
Ukraine,2007,69
Ukraine,2011,74
United Kingdom,2002,22
United Kingdom,2007,21
United Kingdom,2011,15
United Kingdom,2013,18
United States,2002,42
United States,2007,41
United States,2011,33
United States,2013,33
Uzbekistan,2002,66
Venezuela,2002,51
Venezuela,2007,50
Venezuela,2013,42
Vietnam,2002,84
