Entity,Year,Category 1,Category 2,Category 3,Category 4,Category 5
United States,1851,1,0,1,0,0
United States,1852,1,1,1,0,0
United States,1853,1,0,0,0,0
United States,1854,1,1,1,0,0
United States,1855,0,0,1,0,0
United States,1856,0,1,0,1,0
United States,1857,0,1,0,0,0
United States,1858,1,0,0,0,0
United States,1859,2,0,0,0,0
United States,1860,0,2,1,0,0
United States,1861,3,0,0,0,0
United States,1862,0,0,0,0,0
United States,1863,0,0,0,0,0
United States,1864,0,0,0,0,0
United States,1865,0,2,0,0,0
United States,1866,0,1,0,0,0
United States,1867,2,0,0,0,0
United States,1868,0,0,0,0,0
United States,1869,1,2,1,0,0
United States,1870,3,0,0,0,0
United States,1871,1,1,1,0,0
United States,1872,0,0,0,0,0
United States,1873,1,0,1,0,0
United States,1874,1,0,0,0,0
United States,1875,0,0,1,0,0
United States,1876,1,0,0,0,0
United States,1877,1,0,1,0,0
United States,1878,0,2,0,0,0
United States,1879,0,1,2,0,0
United States,1880,2,1,1,0,0
United States,1881,0,2,0,0,0
United States,1882,1,0,1,0,0
United States,1883,0,1,0,0,0
United States,1884,0,0,0,0,0
United States,1885,0,1,0,0,0
United States,1886,2,3,1,1,0
United States,1887,4,0,0,0,0
United States,1888,1,1,1,0,0
United States,1889,1,0,0,0,0
United States,1890,0,0,0,0,0
United States,1891,2,0,0,0,0
United States,1892,0,0,0,0,0
United States,1893,1,1,2,1,0
United States,1894,0,1,1,0,0
United States,1895,1,0,0,0,0
United States,1896,1,1,1,0,0
United States,1897,1,0,0,0,0
United States,1898,2,0,0,1,0
United States,1899,0,2,1,0,0
United States,1900,0,0,0,1,0
United States,1901,2,0,0,0,0
United States,1902,0,0,0,0,0
United States,1903,2,0,0,0,0
United States,1904,2,0,0,0,0
United States,1905,0,0,0,0,0
United States,1906,2,1,1,0,0
United States,1907,0,0,0,0,0
United States,1908,1,0,0,0,0
United States,1909,1,1,3,0,0
United States,1910,0,2,0,0,0
United States,1911,1,1,0,0,0
United States,1912,1,1,0,0,0
United States,1913,3,0,0,0,0
United States,1914,0,0,0,0,0
United States,1915,2,0,1,1,0
United States,1916,0,2,1,1,0
United States,1917,0,0,1,0,0
United States,1918,1,0,1,0,0
United States,1919,0,0,0,1,0
United States,1920,0,1,0,0,0
United States,1921,1,0,1,0,0
United States,1922,0,0,0,0,0
United States,1923,1,0,0,0,0
United States,1924,3,0,0,0,0
United States,1925,0,0,0,0,0
United States,1926,1,1,1,1,0
United States,1927,0,0,0,0,0
United States,1928,0,1,0,1,0
United States,1929,1,0,1,0,0
United States,1930,0,0,0,0,0
United States,1931,0,0,0,0,0
United States,1932,1,0,0,1,0
United States,1933,2,1,2,0,0
United States,1934,2,1,0,0,0
United States,1935,0,1,0,0,1
United States,1936,2,1,0,0,0
United States,1937,0,0,0,0,0
United States,1938,1,0,1,0,0
United States,1939,1,0,0,0,0
United States,1940,0,2,0,0,0
United States,1941,0,1,1,0,0
United States,1942,1,0,1,0,0
United States,1943,0,1,0,0,0
United States,1944,1,1,1,0,0
United States,1945,1,0,1,1,0
United States,1946,1,0,0,0,0
United States,1947,1,1,0,1,0
United States,1948,1,1,0,1,0
United States,1949,1,1,0,1,0
United States,1950,1,0,1,1,0
United States,1951,0,0,0,0,0
United States,1952,0,1,0,0,0
United States,1953,3,0,0,0,0
United States,1954,0,1,1,1,0
United States,1955,0,2,0,0,0
United States,1956,1,0,0,0,0
United States,1957,0,0,1,0,0
United States,1958,0,0,1,0,0
United States,1959,2,0,0,1,0
United States,1960,1,0,0,1,0
United States,1961,0,0,0,1,0
United States,1962,0,0,0,0,0
United States,1963,1,0,0,0,0
United States,1964,0,3,1,0,0
United States,1965,0,0,1,0,0
United States,1966,1,1,0,0,0
United States,1967,0,0,1,0,0
United States,1968,0,1,0,0,0
United States,1969,1,0,0,0,1
United States,1970,0,0,1,0,0
United States,1971,2,1,0,0,0
United States,1972,1,0,0,0,0
United States,1973,0,0,0,0,0
United States,1974,0,0,1,0,0
United States,1975,0,0,1,0,0
United States,1976,1,0,0,0,0
United States,1977,1,0,0,0,0
United States,1978,0,0,0,0,0
United States,1979,1,1,1,0,0
United States,1980,0,0,1,0,0
United States,1981,0,0,0,0,0
United States,1982,0,0,0,0,0
United States,1983,0,0,1,0,0
United States,1984,0,1,0,0,0
United States,1985,3,1,2,0,0
United States,1986,2,0,0,0,0
United States,1987,1,0,0,0,0
United States,1988,1,0,0,0,0
United States,1989,2,0,0,1,0
United States,1990,0,0,0,0,0
United States,1991,0,1,0,0,0
United States,1992,0,0,0,0,1
United States,1993,0,0,1,0,0
United States,1994,0,0,0,0,0
United States,1995,0,1,1,0,0
United States,1996,0,1,1,0,0
United States,1997,1,0,0,0,0
United States,1998,1,2,0,0,0
United States,1999,0,2,1,0,0
United States,2000,0,0,0,0,0
United States,2001,0,0,0,0,0
United States,2002,1,0,0,0,0
United States,2003,1,1,0,0,0
United States,2004,2,1,2,1,0
United States,2005,2,0,4,0,0
United States,2006,0,0,0,0,0
United States,2007,1,0,0,0,0
United States,2008,1,2,0,0,0
United States,2009,0,0,0,0,0
United States,2010,0,0,0,0,0
United States,2011,1,0,0,0,0
United States,2012,2,0,0,0,0
United States,2013,0,0,0,0,0
United States,2014,0,1,0,0,0
United States,2015,0,0,0,0,0
United States,2016,1,1,0,0,0
United States,2017,1,0,0,2,0
