Entity,Year,Inequality in life expectancy (2015-2020),Inequality in education (2017)
Afghanistan,1,28.4,45.4
Albania,1,9.2,8.5
Algeria,1,15.1,33.7
Andorra,1,..,9.4
Angola,1,33.8,34.3
Antigua and Barbuda,1,7.5,..
Arab States,1,15.7,32.6
Argentina,1,9.5,6.2
Armenia,1,9,2.9
Australia,1,3.6,2.6
Austria,1,3,2.6
Azerbaijan,1,17,3.8
Bahamas,1,8.7,6.3
Bahrain,1,5.6,19
Bangladesh,1,17.3,37.3
Barbados,1,7,5.5
Belarus,1,4.9,3.7
Belgium,1,3.6,8.7
Belize,1,10.1,15.9
Benin,1,35,43.7
Bhutan,1,17.8,41.7
Bolivia,1,25.2,20
Bosnia and Herzegovina,1,5.9,19.8
Botswana,1,18.6,..
Brazil,1,10.8,22
Brunei,1,5.5,..
Bulgaria,1,6.7,6.5
Burkina Faso,1,32,39.2
Burundi,1,38.1,39.5
Cambodia,1,16,27.3
Cameroon,1,33.7,33
Canada,1,4.3,1.4
Cape Verde,1,13.3,23.7
Central African Republic,1,41.7,34.5
Chad,1,42.4,43
Chile,1,6.1,7.5
China,1,7.9,11.5
Colombia,1,13.2,19.4
Comoros,1,28.9,47.6
Congo,1,25.1,21.5
Costa Rica,1,7.5,11.9
Cote d'Ivoire,1,34.2,47.4
Croatia,1,4.1,5
Cuba,1,5.3,10.9
Cyprus,1,3.6,11.7
Czech Republic,1,3.3,1.6
Democratic Republic of Congo,1,36.1,26.3
Denmark,1,3.4,4.3
Developing countries,1,17.4,25.3
Djibouti,1,30.8,47
Dominica,1,..,..
Dominican Republic,1,15.4,19.1
East Asia and the Pacific,1,10,13.1
Ecuador,1,13.9,13.8
Egypt,1,11.6,36.9
El Salvador,1,12.2,30.3
Equatorial Guinea,1,35,..
Eritrea,1,21.4,..
Estonia,1,4.3,2.3
Ethiopia,1,24.9,43.5
Europe and Central Asia,1,10.9,7.2
Fiji,1,10.9,..
Finland,1,2.8,1.9
France,1,3.6,8.6
Gabon,1,23.1,23.5
Gambia,1,28.5,49.3
Georgia,1,8.1,2.2
Germany,1,3,2.7
Ghana,1,26.2,34.9
Greece,1,3.5,13.1
Grenada,1,8,..
Guatemala,1,16,35
Guinea,1,31.2,48.3
Guinea-Bissau,1,38.4,41.9
Guyana,1,19.5,10.7
Haiti,1,28.6,38.3
High human development,1,9.2,13.1
Honduras,1,18.1,22.7
Hong Kong,1,2.5,10.2
Hungary,1,4.7,3.2
Iceland,1,2.4,2.6
India,1,21.4,38.7
Indonesia,1,14.8,16.5
Iran,1,9,4.9
Iraq,1,17.3,27.2
Ireland,1,2.8,2.9
Israel,1,3.3,7
Italy,1,2.9,10.5
Jamaica,1,11,5.6
Japan,1,2.9,1.6
Jordan,1,10.7,16.9
Kazakhstan,1,10.1,3.2
Kenya,1,22.8,22.9
Kiribati,1,24.5,21.4
Korea,1,3.2,18.5
Kuwait,1,6.3,17.8
Kyrgyzstan,1,12.1,5
Laos,1,23.1,34.1
Latin America and the Caribbean,1,12.1,18.4
Latvia,1,5.9,3.7
Least developed countries,1,27.1,36.2
Lebanon,1,6.7,6.2
Lesotho,1,28.5,21.9
Liberia,1,27.5,42.9
Libya,1,14.1,..
Liechtenstein,1,..,..
Lithuania,1,5.4,4.5
Low human development,1,31.2,37
Luxembourg,1,3.4,9.4
Macedonia,1,6.5,10.5
Madagascar,1,21.3,35
Malawi,1,30.3,28.4
Malaysia,1,5.9,15.6
Maldives,1,5.7,40
Mali,1,36.8,46.2
Malta,1,4,6.9
Marshall Islands,1,..,..
Mauritania,1,32.6,40.8
Mauritius,1,8.9,13.2
Medium human development,1,20.3,33.1
Mexico,1,12.3,17.1
Micronesia (country),1,19,..
Moldova,1,9.6,7.3
Monaco,1,..,..
Mongolia,1,13.4,11.9
Montenegro,1,4.4,7.4
Morocco,1,14,..
Mozambique,1,35.6,33.8
Myanmar,1,24,26.9
Namibia,1,20.2,25
Nauru,1,..,..
Nepal,1,16.6,40.9
Netherlands,1,3,5.3
New Zealand,1,4.3,1.7
Nicaragua,1,12.9,25.7
Niger,1,34.9,35
Nigeria,1,37.4,38.1
North Korea,1,11.6,..
Norway,1,2.7,6.1
Oman,1,7.1,..
Organization for Economic Co-operation and Development,1,5.3,7.7
Pakistan,1,31,46.2
Palau,1,..,1.9
Palestine,1,12.2,14.1
Panama,1,11.5,12.5
Papua New Guinea,1,25.3,11.5
Paraguay,1,18,16.7
Peru,1,13.2,15.3
Philippines,1,14.4,11.6
Poland,1,4.7,4.7
Portugal,1,2.9,16.3
Qatar,1,5.9,11.4
Romania,1,6.8,6.3
Russia,1,8,2.2
Rwanda,1,23.8,29.3
Saint Kitts and Nevis,1,..,..
Saint Lucia,1,9,12.6
Saint Vincent and the Grenadines,1,11.9,..
Samoa,1,11.4,4.9
San Marino,1,..,..
Sao Tome and Principe,1,25.9,18.3
Saudi Arabia,1,8.9,16.2
Senegal,1,21.1,46.5
Serbia,1,7.1,8.1
Seychelles,1,7.7,..
Sierra Leone,1,39.8,47.3
Singapore,1,2.6,8.2
Slovakia,1,5.2,1.4
Slovenia,1,3,2.2
Small island developing states,1,16.1,19.6
Solomon Islands,1,15.9,..
Somalia,1,38.9,..
South Africa,1,20.3,14.3
South Asia,1,21.4,37.7
South Sudan,1,37,39.6
Spain,1,3,18.6
Sri Lanka,1,7.1,12.8
Sub-Saharan Africa,1,30.8,33.7
Sudan,1,27.9,42.5
Suriname,1,12.4,15.6
Swaziland,1,26.2,24.1
Sweden,1,2.7,3.7
Switzerland,1,3.5,2.4
Syria,1,13,..
Tajikistan,1,20.1,6.5
Tanzania,1,24.9,27
Thailand,1,9.3,13.3
Timor,1,20.6,44.9
Togo,1,30.5,38.9
Tonga,1,13,4.5
Trinidad and Tobago,1,15.6,..
Tunisia,1,10.7,34.6
Turkey,1,9.6,13.5
Turkmenistan,1,23.4,3.6
Tuvalu,1,..,10.5
Uganda,1,32.5,27.9
Ukraine,1,7.5,3.6
United Arab Emirates,1,5.2,..
United Kingdom,1,4,3.7
United States,1,5.6,5.5
Uruguay,1,9,7.4
Uzbekistan,1,17,0.8
Vanuatu,1,14.1,17.5
Venezuela,1,10.5,12.9
Very high human development,1,5,6.3
Vietnam,1,12.7,17.6
World,1,15.2,22
Yemen,1,24.9,46.1
Zambia,1,28.8,21.7
Zimbabwe,1,26.6,16.8
