Entity,Year,Interpersonal Trust (%)
United States,1972,46.25
United States,1973,46.76
United States,1975,39.69
United States,1976,43.98
United States,1978,39.86
United States,1980,44.29
United States,1983,36.50
United States,1984,48.87
United States,1986,37.72
United States,1987,38.43
United States,1988,39.46
United States,1989,41.16
United States,1990,38.38
United States,1991,38.96
United States,1993,35.31
United States,1994,34.36
United States,1996,33.65
United States,1998,37.23
United States,2000,35.14
United States,2002,34.79
United States,2004,35.49
United States,2006,32.19
United States,2008,31.88
United States,2010,32.24
United States,2012,32.18
United States,2014,30.32
United States,2016,31.38
United States,2018,31.85
