Entity,Year,Global Living Planet Index (WWF (2016)),Lower CI (WWF (2016)),Upper CI (WWF (2016))
World,1970,1,1,1
World,1971,0.981921332,0.968906142,0.994246545
World,1972,0.960639307,0.931225325,0.986652205
World,1973,0.959626526,0.926917746,0.989944726
World,1974,0.952020659,0.917637235,0.983906134
World,1975,0.940692874,0.903646069,0.976789553
World,1976,0.918770005,0.880077267,0.957508746
World,1977,0.894409148,0.85450045,0.934628258
World,1978,0.87057403,0.830177963,0.911269772
World,1979,0.862308776,0.821072725,0.904022296
World,1980,0.853206911,0.809371969,0.897597689
World,1981,0.834812956,0.789279696,0.883088558
World,1982,0.809541841,0.760777468,0.860278891
World,1983,0.792477163,0.741914816,0.845677915
World,1984,0.7507628,0.691451118,0.812542339
World,1985,0.731159867,0.666234474,0.798578708
World,1986,0.712660706,0.648045911,0.779836081
World,1987,0.68022433,0.616799959,0.745378045
World,1988,0.629170985,0.566741916,0.693625805
World,1989,0.626402736,0.561225514,0.694358456
World,1990,0.619002388,0.554099457,0.686544559
World,1991,0.601972952,0.53833907,0.668110739
World,1992,0.592387582,0.528388839,0.659808355
World,1993,0.57980412,0.516211306,0.646391152
World,1994,0.558252267,0.495858237,0.624145731
World,1995,0.552445528,0.489156713,0.618386783
World,1996,0.540315286,0.477434086,0.606631372
World,1997,0.532666256,0.470206871,0.600176137
World,1998,0.520584939,0.45845868,0.587157576
World,1999,0.500002846,0.439262575,0.565685645
World,2000,0.483072672,0.423140315,0.547224503
World,2001,0.474332308,0.415258664,0.539461351
World,2002,0.455615707,0.396070652,0.522223915
World,2003,0.452366394,0.392045556,0.51920427
World,2004,0.455244717,0.393543115,0.524739974
World,2005,0.444668149,0.381124516,0.517047941
World,2006,0.449332908,0.381324656,0.526479415
World,2007,0.435877443,0.367245936,0.513123617
World,2008,0.437278146,0.36642812,0.520024858
World,2009,0.473833286,0.39664807,0.565132423
World,2010,0.456983839,0.379662709,0.54822446
World,2011,0.435163077,0.357817926,0.528129901
World,2012,0.420289645,0.337816831,0.518968038
