Entity,Year,Registered Mobile Money Accounts
East Asia and Pacific,2011,16674768
East Asia and Pacific,2012,14188036
East Asia and Pacific,2013,15693577
East Asia and Pacific,2014,24488644
East Asia and Pacific,2015,31847883
East Asia and Pacific,2016,48990725
East Asia and Pacific,2017,68548681
East Asia and Pacific,2018,94609342
Eastern Africa,2011,39836904
Eastern Africa,2012,56991820
Eastern Africa,2013,80401155
Eastern Africa,2014,107312294
Eastern Africa,2015,137136575
Eastern Africa,2016,172575532
Eastern Africa,2017,193343479
Eastern Africa,2018,212956100
Europe and Central Asia,2011,857907
Europe and Central Asia,2012,2034791
Europe and Central Asia,2013,2967728
Europe and Central Asia,2014,3797914
Europe and Central Asia,2015,10586402
Europe and Central Asia,2016,10276753
Europe and Central Asia,2017,11549376
Europe and Central Asia,2018,12353452
Latin America and the Caribbean,2011,1924561
Latin America and the Caribbean,2012,2727225
Latin America and the Caribbean,2013,7234142
Latin America and the Caribbean,2014,12436929
Latin America and the Caribbean,2015,16612385
Latin America and the Caribbean,2016,19272487
Latin America and the Caribbean,2017,23529446
Latin America and the Caribbean,2018,26992612
Middle Africa,2011,256116
Middle Africa,2012,2629373
Middle Africa,2013,6531056
Middle Africa,2014,13326482
Middle Africa,2015,18095937
Middle Africa,2016,20493825
Middle Africa,2017,35182228
Middle Africa,2018,37929577
Middle East and North Africa,2011,2586494
Middle East and North Africa,2012,33628884
Middle East and North Africa,2013,35494699
Middle East and North Africa,2014,37483894
Middle East and North Africa,2015,40845319
Middle East and North Africa,2016,44684869
Middle East and North Africa,2017,47268744
Middle East and North Africa,2018,48891406
South Asia,2011,1740339
South Asia,2012,7604451
South Asia,2013,25291568
South Asia,2014,49129030
South Asia,2015,99919822
South Asia,2016,158364051
South Asia,2017,223726066
South Asia,2018,287593745
Southern Africa,2011,1451715
Southern Africa,2012,2646840
Southern Africa,2013,6017313
Southern Africa,2014,10043647
Southern Africa,2015,13900452
Southern Africa,2016,7706851
Southern Africa,2017,10031732
Southern Africa,2018,11223095
Sub-Saharan Africa,2006,200000
Sub-Saharan Africa,2011,48321609
Sub-Saharan Africa,2012,74794645
Sub-Saharan Africa,2013,112678642
Sub-Saharan Africa,2014,166060580
Sub-Saharan Africa,2015,232092773
Sub-Saharan Africa,2016,287956650
Sub-Saharan Africa,2017,348603535
Sub-Saharan Africa,2018,395698890
Western Africa,2011,6776874
Western Africa,2012,12526612
Western Africa,2013,19729117
Western Africa,2014,35378157
Western Africa,2015,62959809
Western Africa,2016,87180443
Western Africa,2017,110046096
Western Africa,2018,133590118
World,2006,3999986
World,2007,7258095
World,2008,13805906
World,2009,29047305
World,2010,48602198
World,2011,72105677
World,2012,134978033
World,2013,199360357
World,2014,293396991
World,2015,431904584
World,2016,569545536
World,2017,732225848
World,2018,866139447
World (excluding Sub-Saharan Africa),2006,3799986
World (excluding Sub-Saharan Africa),2011,23784068
World (excluding Sub-Saharan Africa),2012,60183388
World (excluding Sub-Saharan Africa),2013,86681715
World (excluding Sub-Saharan Africa),2014,127336411
World (excluding Sub-Saharan Africa),2015,199811811
World (excluding Sub-Saharan Africa),2016,281588886
World (excluding Sub-Saharan Africa),2017,383622313
World (excluding Sub-Saharan Africa),2018,470440557
