Entity,Year,Number of universities
Kazakhstan,1991,61
Kazakhstan,1992,63
Kazakhstan,1993,89
Kazakhstan,1994,101
Kazakhstan,1995,112
Kazakhstan,1996,111
Kazakhstan,1997,133
Kazakhstan,1998,144
Kazakhstan,1999,163
Kazakhstan,2000,170
Kazakhstan,2001,185
Kazakhstan,2002,177
Kazakhstan,2003,180
Kazakhstan,2004,181
Kazakhstan,2005,181
Kazakhstan,2006,176
Kazakhstan,2007,167
Kazakhstan,2008,143
Kazakhstan,2009,148
Kazakhstan,2010,149
Kazakhstan,2011,146
Kazakhstan,2012,139
Kazakhstan,2013,128
Kazakhstan,2014,126
Kazakhstan,2015,127
Kazakhstan,2016,130
