Entity,Year,Number of people undernourished (FAO (2017) & World Bank (2017)),Number of people with sufficient caloric intake (FAO (2017) & World Bank (2017)),Number of people undernourished (FAO SOFI (2018) & World Bank (2017))
World,1991,1007889360,4410870640,1007889360
World,1992,1018314000,4486086000,1018314000
World,1993,1017032380,4571057620,1017032380
World,1994,1009316960,4661003040,1009316960
World,1995,989252840,4762217160,989252840
World,1996,968040620,4863529380,968040620
World,1997,951601770,4958968230,951601770
World,1998,940249450,5048600550,940249450
World,1999,928231110,5138638890,928231110
World,2000,900000000,5245010000,900000000
World,2001,917500000,5305910000,917500000
World,2002,936300000,5365850000,936300000
World,2003,947200000,5434210000,947200000
World,2004,941700000,5519670000,941700000
World,2005,926000000,5616160000,945000000
World,2006,890000000,5733850000,911400000
World,2007,845500000,5860920000,876900000
World,2008,831800000,5957970000,855100000
World,2009,814700000,6059040000,839800000
World,2010,794600000,6163570000,820500000
World,2011,782100000,6260910000,812800000
World,2012,779300000,6348880000,805700000
World,2013,775400000,6438030000,794900000
World,2014,775400000,6523050000,783700000
World,2015,777000000,6606010000,784400000
World,2016,815000000,6651960000,804200000
World,2017,,,820800000
