Entity,Year,Ozone concentration (1960 = 0),Equivalent stratospheric chorine (ESC) (1960 = 0)
Antarctic,1960,0,0
Antarctic,1965,-1.2,0.14
Antarctic,1970,-7.6,0.44
Antarctic,1975,-20.9,1
Antarctic,1980,-41.8,1.82
Antarctic,1985,-66.5,2.86
Antarctic,1990,-90.8,3.87
Antarctic,1995,-110,4.71
Antarctic,2000,-121.2,5.19
Antarctic,2005,-123.2,5.29
Antarctic,2010,-118.2,5.05
Antarctic,2015,-108.6,4.68
Antarctic,2020,-97.9,4.29
Antarctic,2025,-88.4,3.93
Antarctic,2030,-79.9,3.66
Antarctic,2035,-72.2,3.37
Antarctic,2040,-64.1,3.07
Antarctic,2045,-56.1,2.7
Antarctic,2050,-48.1,2.37
Antarctic,2055,-40.8,2.05
Antarctic,2060,-34.5,1.81
Antarctic,2065,-29.8,1.65
Antarctic,2070,-25.7,1.45
Antarctic,2075,-22.1,1.24
Antarctic,2080,-18.5,1.04
Antarctic,2085,-15.4,0.84
Antarctic,2090,-11.8,0.73
Antarctic,2095,-9,0.63
Antarctic,2100,-5.5,0.53
Arctic,1960,0,0
Arctic,1965,4.1,0.59
Arctic,1970,2.8,0.86
Arctic,1975,-0.5,1.34
Arctic,1980,-5.8,2.09
Arctic,1985,-12.2,2.97
Arctic,1990,-18.9,3.86
Arctic,1995,-24.4,4.59
Arctic,2000,-27.4,5.02
Arctic,2005,-27,5.1
Arctic,2010,-23.9,4.9
Arctic,2015,-18.8,4.55
Arctic,2020,-12.8,4.19
Arctic,2025,-6.4,3.87
Arctic,2030,-1.9,3.62
Arctic,2035,2.5,3.37
Arctic,2040,6.2,3.11
Arctic,2045,9.6,2.83
Arctic,2050,12.9,2.56
Arctic,2055,16,2.3
Arctic,2060,19.4,2.06
Arctic,2065,22.3,1.94
Arctic,2070,24.8,1.78
Arctic,2075,27.5,1.63
Arctic,2080,30.2,1.45
Arctic,2085,32.6,1.3
Arctic,2090,34.4,1.18
Arctic,2095,35.6,1.1
Arctic,2100,37.4,1.05
Global,1960,0,0
Global,1965,0.4,0.1
Global,1970,0,0.3
Global,1975,-2.2,0.63
Global,1980,-4.5,1.1
Global,1985,-8.3,1.68
Global,1990,-11.8,2.25
Global,1995,-14.3,2.7
Global,2000,-15.5,2.95
Global,2005,-14.7,2.99
Global,2010,-13.2,2.83
Global,2015,-11.1,2.57
Global,2020,-8.9,2.32
Global,2025,-6.9,2.1
Global,2030,-4.9,1.92
Global,2035,-3.9,1.76
Global,2040,-2.4,1.58
Global,2045,-0.9,1.37
Global,2050,0.3,1.15
Global,2055,1.6,1.03
Global,2060,2.2,0.9
Global,2065,2.8,0.79
Global,2070,3.1,0.68
Global,2075,3.9,0.56
Global,2080,4.5,0.46
Global,2085,4.8,0.35
Global,2090,5,0.3
Global,2095,5.1,0.26
Global,2100,5.3,0.25
