Entity,Year,Share of deaths attributable to risk factors
Adverse effects of medical treatment,2016,0
African trypanosomiasis,2016,0
Alzheimer disease and other dementias,2016,21.4
Aortic aneurysm,2016,44.2
Asthma,2016,32.3
Bipolar disorder,2016,0
Bladder cancer,2016,32
Brain and nervous system cancer,2016,0
Breast cancer,2016,26.8
Cardiomyopathy and myocarditis,2016,49.1
Cerebrovascular disease,2016,86.2
Cervical cancer,2016,100
Chagas disease,2016,0
Chronic kidney disease,2016,99.9
Chronic obstructive pulmonary disease,2016,76.6
Cirrhosis and other chronic liver diseases due to alcohol use,2016,100
Colon and rectum cancer,2016,53.2
Congenital birth defects,2016,0
Dengue,2016,0
Diabetes mellitus,2016,100
Diarrheal diseases,2016,91.5
Diphtheria,2016,0
Ebola,2016,0
Encephalitis,2016,1
Esophageal cancer,2016,69.8
Gallbladder and biliary diseases,2016,32.4
Gallbladder and biliary tract cancer,2016,15
Hepatitis,2016,0.6
HIV/AIDS,2016,83.5
Hodgkin lymphoma,2016,0
Hypertensive heart disease,2016,100
Interstitial lung disease and pulmonary sarcoidosis,2016,0
Intestinal infectious diseases,2016,0
Iodine deficiency,2016,0
Iron-deficiency anemia,2016,100
Ischemic heart disease,2016,93.3
Kidney cancer,2016,32.3
Larynx cancer,2016,71.8
Leukemia,2016,14.8
Lip and oral cavity cancer,2016,69.8
Liver cancer,2016,41.5
Lower respiratory infections,2016,69.5
Lymphatic filariasis,2016,0
Malaria,2016,0
Malignant skin melanoma,2016,0
Measles,2016,67.4
Meningitis,2016,4.2
Mesothelioma,2016,91.4
Multiple myeloma,2016,6.8
Nasopharynx cancer,2016,64
Neonatal encephalopathy due to birth asphyxia and trauma,2016,75
Neonatal preterm birth complications,2016,100
Neonatal sepsis and other neonatal infections,2016,65.8
Non-Hodgkin lymphoma,2016,5.1
Non-melanoma skin cancer,2016,0
Ovarian cancer,2016,12.3
Pancreatic cancer,2016,27.5
Parkinson disease,2016,-11
Peptic ulcer disease,2016,14.7
Peripheral artery disease,2016,51.9
Pneumoconiosis,2016,100
Prostate cancer,2016,4.4
Protein-energy malnutrition,2016,100
Rabies,2016,0
Rheumatic heart disease,2016,25.7
Rheumatoid arthritis,2016,4.4
Stomach cancer,2016,18.4
Testicular cancer,2016,0
Tetanus,2016,0
Thyroid cancer,2016,9.4
"Tracheal, bronchus, and lung cancer",2016,84.1
Tuberculosis,2016,35.3
Upper respiratory infections,2016,2.3
Uterine cancer,2016,36.5
Vitamin A deficiency,2016,0
Whooping cough,2016,0
Yellow fever,2016,0
Zika virus,2016,0
