Entity,Year,"Percentage Point changes in $1.90 Poverty (World Bank, 2017)"
Albania,0,0.04
Angola,0,2.15
Argentina,0,-1.71
Armenia,0,15.59
Azerbaijan,0,6.83
Bangladesh,0,19.96
Belarus,0,0.15
Belize,0,-3.83
Benin,0,-4.26
Bhutan,0,33.05
Bolivia,0,1.76
Bosnia and Herzegovina,0,0.24
Botswana,0,24.32
Brazil,0,20.66
Bulgaria,0,-1.98
Burkina Faso,0,39.33
Burundi,0,3.47
Cambodia,0,27.89
Cameroon,0,24.1
Cape Verde,0,7.94
Central African Republic,0,18.01
Chad,0,24.51
Chile,0,7.54
China,0,86.47
Colombia,0,7.74
Congo,0,13.23
Costa Rica,0,33.99
Cote d'Ivoire,0,-22.21
Croatia,0,-0.88
Czech Republic,0,-0.06
Democratic Republic of Congo,0,16.97
Djibouti,0,-1.89
Dominican Republic,0,35.93
East Asia & Pacific,0,76.92
Ecuador,0,19.34
El Salvador,0,16.01
Estonia,0,-0.93
Ethiopia,0,35.72
Europe & Central Asia,0,-0.99
Fiji,0,1.42
Fragile and conflict affected situations,0,0.48
Gambia,0,25.17
Georgia,0,-3.73
Ghana,0,14.76
Guatemala,0,41.62
Guinea,0,57.04
Guinea-Bissau,0,-24.12
Guyana,0,19.19
Haiti,0,1.68
Honduras,0,9.32
Hungary,0,-0.2
IBRD only,0,45.38
IDA & IBRD total,0,39.46
IDA blend,0,27.16
IDA only,0,17.19
IDA total,0,20.96
India,0,32.63
Indonesia,0,62.06
Iran,0,7.32
Jamaica,0,5.53
Kazakhstan,0,-0.02
Kenya,0,-10.52
Kosovo,0,0.96
Kyrgyzstan,0,5.44
Laos,0,6.13
Latin America & Caribbean,0,10.75
Latvia,0,-1.35
Lesotho,0,15.12
Lithuania,0,-0.95
Low & middle income,0,39.03
Low income,0,18.9
Lower middle income,0,34.33
Macedonia,0,-0.53
Madagascar,0,-8.48
Malawi,0,-7.28
Malaysia,0,2.6
Maldives,0,2.73
Mali,0,35.63
Mauritania,0,34.12
Mauritius,0,-0.11
Mexico,0,4.89
Micronesia (country),0,28.62
Middle East & North Africa,0,6.26
Middle income,0,44.1
Moldova,0,0
Mongolia,0,13.64
Montenegro,0,0.23
Morocco,0,7.95
Mozambique,0,16.62
Namibia,0,30.27
Nepal,0,59.78
Nicaragua,0,15.84
Niger,0,32.49
Nigeria,0,-8.2
Pakistan,0,56.09
Palestine,0,0.17
Panama,0,19.98
Papua New Guinea,0,13.92
Paraguay,0,-1.58
Peru,0,13.45
Philippines,0,14.97
Poland,0,0.15
Romania,0,0.3
Russia,0,1.33
Rwanda,0,2.03
Sao Tome and Principe,0,-2.44
Senegal,0,30.45
Serbia,0,-0.02
Seychelles,0,-0.48
Sierra Leone,0,13.16
Slovakia,0,-0.24
Solomon Islands,0,-45.57
South Africa,0,12.73
South Asia,0,39.56
Sri Lanka,0,11.35
Sub-Saharan Africa,0,13.29
Swaziland,0,39.63
Tajikistan,0,34.86
Tanzania,0,23.82
Thailand,0,19.53
Timor,0,-2.54
Togo,0,1.37
Tonga,0,1.74
Trinidad and Tobago,0,-2.74
Tunisia,0,11.94
Turkey,0,1.28
Turkmenistan,0,-2.86
Uganda,0,52.47
Ukraine,0,0.72
Upper middle income,0,54.01
Uruguay,0,-0.3
Uzbekistan,0,-66.79
Venezuela,0,-7.97
Vietnam,0,46.15
World,0,31.24
Zambia,0,-10.37
