Entity,Year,Pieces of mail handled (UN Postal Service (2018)),Number of post offices (UN Postal Service (2018)),Mail handled per post office (UN Postal Service (2018))
United States,1789,,75.00,
United States,1790,,75.00,
United States,1791,,89.00,
United States,1792,,195.00,
United States,1793,,209.00,
United States,1794,,450.00,
United States,1795,,453.00,
United States,1796,,468.00,
United States,1797,,554.00,
United States,1798,,639.00,
United States,1799,,677.00,
United States,1800,,903.00,
United States,1801,,1025.00,
United States,1802,,1114.00,
United States,1803,,1258.00,
United States,1804,,1405.00,
United States,1805,,1558.00,
United States,1806,,1710.00,
United States,1807,,1848.00,
United States,1808,,1944.00,
United States,1809,,2012.00,
United States,1810,,2300.00,
United States,1811,,2403.00,
United States,1812,,2610.00,
United States,1813,,2708.00,
United States,1814,,2670.00,
United States,1815,,3000.00,
United States,1816,,3260.00,
United States,1817,,3459.00,
United States,1818,,3618.00,
United States,1819,,4000.00,
United States,1820,,4500.00,
United States,1821,,4650.00,
United States,1822,,4709.00,
United States,1823,,4043.00,
United States,1824,,5182.00,
United States,1825,,5677.00,
United States,1826,,6150.00,
United States,1827,,7300.00,
United States,1828,,7530.00,
United States,1829,,8004.00,
United States,1830,,8450.00,
United States,1831,,8686.00,
United States,1832,,9205.00,
United States,1833,,10127.00,
United States,1834,,10693.00,
United States,1835,,10770.00,
United States,1836,,11091.00,
United States,1837,,11767.00,
United States,1838,,12519.00,
United States,1839,,12780.00,
United States,1840,,13468.00,
United States,1841,,13778.00,
United States,1842,,13733.00,
United States,1843,,13814.00,
United States,1844,,14103.00,
United States,1845,,14183.00,
United States,1846,,14601.00,
United States,1847,124173000.00,15146.00,8198.42
United States,1848,,16159.00,
United States,1849,,16749.00,
United States,1850,,18417.00,
United States,1851,,19796.00,
United States,1852,,20901.00,
United States,1853,,22320.00,
United States,1854,,23548.00,
United States,1855,,24410.00,
United States,1856,,25565.00,
United States,1857,,26586.00,
United States,1858,,27977.00,
United States,1859,,28539.00,
United States,1860,,28498.00,
United States,1861,,28586.00,
United States,1862,,28875.00,
United States,1863,,29047.00,
United States,1864,,28878.00,
United States,1865,,28882.00,
United States,1866,,29389.00,
United States,1867,,25163.00,
United States,1868,,26481.00,
United States,1869,,27106.00,
United States,1870,,28492.00,
United States,1871,,30045.00,
United States,1872,,31863.00,
United States,1873,,33244.00,
United States,1874,,34294.00,
United States,1875,,35547.00,
United States,1876,,36383.00,
United States,1877,,37345.00,
United States,1878,,38253.00,
United States,1879,,40588.00,
United States,1880,,42989.00,
United States,1881,,44512.00,
United States,1882,,46231.00,
United States,1883,,46820.00,
United States,1884,,48434.00,
United States,1885,,51252.00,
United States,1886,3747000000.00,53614.00,69888.46
United States,1887,3495100000.00,55157.00,63366.39
United States,1888,3576100000.00,57376.00,62327.45
United States,1889,3860200000.00,58999.00,65428.23
United States,1890,4005408000.00,62401.00,64188.22
United States,1891,4369900000.00,64329.00,6793.48
United States,1892,4776575000.00,67119.00,71165.77
United States,1893,5021841000.00,68403.00,73415.59
United States,1894,4919090000.00,69805.00,7469.28
United States,1895,5134281000.00,70064.00,73279.87
United States,1896,5693719000.00,70360.00,8922.67
United States,1897,5781002000.00,71022.00,81397.34
United States,1898,6214447000.00,73570.00,84469.85
United States,1899,6576310000.00,75000.00,87684.13
United States,1900,7129990000.00,76688.00,92974.00
United States,1901,7424390000.00,76945.00,96489.57
United States,1902,8085447000.00,75924.00,16493.95
United States,1903,8867467000.00,74169.00,119557.59
United States,1904,9502460000.00,71131.00,13359.98
United States,1905,10187506000.00,68131.00,149528.23
United States,1906,11361091000.00,65600.00,173187.36
United States,1907,12255666000.00,62658.00,195596.19
United States,1908,13364069000.00,60704.00,22151.37
United States,1909,14004577000.00,60144.00,23285.77
United States,1910,14850103000.00,59580.00,249246.44
United States,1911,16900552000.00,59237.00,28533.98
United States,1912,17588659000.00,58729.00,299488.49
United States,1913,18567445000.00,58020.00,3218.11
United States,1914,,56810.00,
United States,1915,,56380.00,
United States,1916,,55935.00,
United States,1917,,55414.00,
United States,1918,,54347.00,
United States,1919,,53084.00,
United States,1920,,52641.00,
United States,1921,,52168.00,
United States,1922,,51950.00,
United States,1923,23054832000.00,51613.00,446686.53
United States,1924,,51266.00,
United States,1925,,50957.00,
United States,1926,25483529000.00,50601.00,53617.12
United States,1927,26686556000.00,50266.00,5396.70
United States,1928,26837005000.00,49944.00,537341.92
United States,1929,27951548000.00,49482.00,564883.15
United States,1930,27887823000.00,49063.00,56848.43
United States,1931,26544352000.00,48733.00,544689.47
United States,1932,24306744000.00,48159.00,54718.62
United States,1933,19868456000.00,47641.00,41745.32
United States,1934,20625827000.00,46506.00,44358.95
United States,1935,22331752000.00,45686.00,48889.53
United States,1936,23571315000.00,45230.00,521143.38
United States,1937,25801279000.00,44877.00,574933.24
United States,1938,26041979000.00,44586.00,58484.22
United States,1939,26444846000.00,44327.00,596585.51
United States,1940,27749467000.00,44024.00,63325.89
United States,1941,29235791000.00,43739.00,668414.80
United States,1942,30117633000.00,43358.00,694626.90
United States,1943,32818262000.00,42654.00,76946.43
United States,1944,34930685000.00,42161.00,82857.33
United States,1945,37912067000.00,41792.00,9716.87
United States,1946,36318158000.00,41751.00,869875.16
United States,1947,37427706000.00,41760.00,896257.33
United States,1948,40280374000.00,41695.00,96672.48
United States,1949,43555108000.00,41607.00,146821.65
United States,1950,45063737000.00,41464.00,186815.97
United States,1951,46908410000.00,41193.00,1138747.12
United States,1952,49905875000.00,40919.00,1219625.97
United States,1953,50948156000.00,40609.00,125462.58
United States,1954,52213170000.00,39405.00,132539.28
United States,1955,55233564000.00,38316.00,1441527.44
United States,1956,56441216000.00,37515.00,154497.29
United States,1957,59077633000.00,37012.00,1596175.15
United States,1958,60129911000.00,36308.00,165616.40
United States,1959,61247220000.00,35750.00,171328.95
United States,1960,63674604000.00,35238.00,186986.89
United States,1961,64932859000.00,34955.00,1857612.92
United States,1962,66493190000.00,34797.00,191888.58
United States,1963,67852738000.00,34498.00,196686.50
United States,1964,69676477000.00,34040.00,2469.29
United States,1965,71873166000.00,33624.00,2137555.50
United States,1966,75607302000.00,33121.00,228276.24
United States,1967,78366572000.00,32626.00,241966.90
United States,1968,79516731000.00,32260.00,246487.77
United States,1969,82004501000.00,32064.00,2557525.65
United States,1970,84881833000.00,32002.00,2652391.57
United States,1971,86983000000.00,31947.00,2722728.27
United States,1972,87156084000.00,31686.00,275618.65
United States,1973,89683439000.00,31385.00,2857525.54
United States,1974,90098108000.00,31000.00,29639.59
United States,1975,89265979000.00,30754.00,292581.95
United States,1976,89767903000.00,30521.00,2941184.86
United States,1977,92223912000.00,30521.00,321654.34
United States,1978,96913154000.00,30518.00,317566.34
United States,1979,99828883000.00,30449.00,327856.31
United States,1980,106311062000.00,30326.00,35567.80
United States,1981,110130400000.00,30242.00,3641637.46
United States,1982,114049205000.00,30155.00,378299.32
United States,1983,119381409000.00,29990.00,39877.22
United States,1984,131544620000.00,29750.00,4421667.90
United States,1985,140097956000.00,29557.00,4739924.76
United States,1986,147375805000.00,29344.00,522348.86
United States,1987,153930574000.00,29319.00,525198.64
United States,1988,160953625000.00,29203.00,5511544.20
United States,1989,161603264000.00,29083.00,5556622.97
United States,1990,166300770000.00,28959.00,5742628.20
United States,1991,165850600000.00,28912.00,5736393.19
United States,1992,166443400000.00,28837.00,5771869.47
United States,1993,171220000000.00,28728.00,59638.99
United States,1994,178039400000.00,28657.00,6212771.75
United States,1995,180733700000.00,28392.00,6365655.82
United States,1996,183439500000.00,28189.00,657485.19
United States,1997,190888100000.00,28060.00,682854.60
United States,1998,196904700000.00,27952.00,744386.86
United States,1999,201576300000.00,27893.00,722677.16
United States,2000,207882200000.00,27876.00,7457389.87
United States,2001,207462600000.00,27876.00,7442337.49
United States,2002,202821900000.00,27791.00,7298114.50
United States,2003,202184700000.00,27556.00,7337229.64
United States,2004,206105600000.00,27505.00,7493386.66
United States,2005,211742700000.00,27385.00,773268.66
United States,2006,213137700000.00,27318.00,78297.52
United States,2007,212234000000.00,27276.00,778979.62
United States,2008,202703000000.00,27232.00,7443559.48
United States,2009,176744000000.00,27161.00,657271.46
United States,2010,170859000000.00,27077.00,631115.60
United States,2011,168297000000.00,26927.00,62512.70
United States,2012,159835000000.00,26755.00,597423.55
United States,2013,158222000000.00,26670.00,5932583.43
United States,2014,155532000000.00,26669.00,5831939.75
United States,2015,154321000000.00,26615.00,5798271.65
United States,2016,154342000000.00,26611.00,5799932.36
United States,2017,149491000000.00,26410.00,566393.79
