Entity,Year,regime_bti,state_basic_bti,electfreefair_bti,effective_power_bti,freeassoc_bti,freeexpr_bti,sep_power_bti,civ_rights_bti,democracy_bti,state_bti,political_participation_bti,rule_of_law_bti,stability_dem_inst_bti,pol_soc_integr_bti,number_hardaut_bti,number_modaut_bti,number_hdefdem_bti,number_defdem_bti,number_consdem_bti,pop_hardaut_bti,pop_modaut_bti,pop_hdefdem_bti,pop_defdem_bti,pop_consdem_bti,pop_missreg_bti,popw_democracy_bti,region
Afghanistan,2005,1,2,4,3,6,4,3,2,2.966666698455811,3,4.25,2.25,3,2.3333333,,,,,,,,,,,,,Asia
Afghanistan,2007,1,2,6,3,6,4,5,3,3.416666746139526,3.25,4.75,3.75,3,2.3333333,,,,,,,,,,,,,Asia
Afghanistan,2009,1,1,6,2,4,4,3,2,2.799999952316284,2.75,4,2.25,3,2,,,,,,,,,,,,,Asia
Afghanistan,2011,1,2,3,2,4,4,3,2,2.75,3.25,3.25,2.25,3,2,,,,,,,,,,,,,Asia
Afghanistan,2013,1,2.5,3,2,4,4,4,2,2.966666698455811,3.5,3.25,2.75,3,2.3333333,,,,,,,,,,,,,Asia
Afghanistan,2015,1,3,3,3,4,4,3,2,3.016666650772095,3.75,3.5,2.5,3,2.3333333,,,,,,,,,,,,,Asia
Afghanistan,2017,1,3,3,3,4,4,3,2,3.016666650772095,3.75,3.5,2.5,3,2.3333333,,,,,,,,,,,,,Asia
Afghanistan,2019,1,3,4,2,5,4,4,2,3.283333333333334,4,3.75,3,3,2.666666666666667,,,,,,,,,,,,,Asia
Afghanistan,2021,1,2.5,3,2,4,4,4,2,3.083333333333333,3.5,3.25,3,3,2.666666666666667,,,,,,,,,,,,,Asia
Africa,2005,,,,,,,,,5.178749963641167,,,,,,14,9,0,14,3,195108748,292264907,0,352123999,50901682,25754949,5.159930774901039,World
Africa,2007,,,,,,,,,5.323412764640081,,,,,,15,6,2,14,5,217107449,246169908,11324137,390885658,77199576,20335109,5.349785695567991,World
Africa,2009,,,,,,,,,5.119767438533694,,,,,,14,10,3,13,3,278950716,392044733,51289594,243738210,27368434,19654037,4.905218663024047,World
Africa,2011,,,,,,,,,5.198062026223471,,,,,,13,10,3,14,3,310102651,390037614,21382658,295366525,28654193,20866070,4.949796426123664,World
Africa,2013,,,,,,,,,5.231439425186678,,,,,,10,14,3,14,3,263620019,315713551,204806274,297377008,29925650,11602635,5.063146025726271,World
Africa,2015,,,,,,,,,5.165530334819447,,,,,,14,7,7,14,2,435490761,121067158,286569562,323741736,3380173,12189413,4.970548465786927,World
Africa,2017,,,,,,,,,5.097348467870192,,,,,,16,6,5,15,2,482463616,153002596,261485194,331020905,3469573,12780385,4.863268165699373,World
Africa,2019,,,,,,,,,4.999666666666666,,,,,,17,10,7,14,2,382827376,343592785,306065033,268548389,3573373,3457220,4.851560866454044,World
Africa,2021,,,,,,,,,4.795000000000001,,,,,,18,16,4,9,3,518940208,625100591,50802464,139668612,35402796,3571801,4.510815914034886,World
Albania,2005,4,6.5,6,8,9,9,5,8,7.25,8,8,5.5,7.5,7.25,,,,,,,,,,,,,Europe
Albania,2007,4,7.5,8,8,9,8,7,8,7.5,8.5,8.25,6.25,8,6.5,,,,,,,,,,,,,Europe
Albania,2009,4,8,8,8,9,8,7,8,7.550000190734863,8.75,8.25,6.25,8,6.5,,,,,,,,,,,,,Europe
Albania,2011,4,8,7,7,9,7,6,8,7.25,8.75,7.5,6,7.5,6.5,,,,,,,,,,,,,Europe
Albania,2013,4,8,6,7,8,7,4,8,6.699999809265137,8.5,7,5,6.5,6.5,,,,,,,,,,,,,Europe
Albania,2015,4,8.5,7,7,8,7,4,8,6.949999809265137,9,7.25,5,7,6.5,,,,,,,,,,,,,Europe
Albania,2017,4,8.5,7,7,9,7,4,8,7.050000190734863,9,7.5,5.25,7,6.5,,,,,,,,,,,,,Europe
Albania,2019,4,8.5,7,7,10,7,5,8,7.15,9,7.75,5.5,7,6.5,,,,,,,,,,,,,Europe
Albania,2021,4,8.5,7,7,10,7,5,8,7.1,9,7.75,5.5,6.5,6.75,,,,,,,,,,,,,Europe
Algeria,2005,2,6.5,5,2,5,5,4,5,4.233333110809326,7,4.25,4.25,2,3.6666667,,,,,,,,,,,,,Africa
Algeria,2007,2,6,4,2,5,5,4,5,4.266666889190674,6.75,4,4.25,2,4.3333333,,,,,,,,,,,,,Africa
Algeria,2009,2,7,4,2,5,6,4,5,4.366666793823242,7,4.25,4.25,2,4.3333333,,,,,,,,,,,,,Africa
Algeria,2011,2,7,4,2,5,6,4,5,4.300000190734863,7,4.25,4.25,2,4,,,,,,,,,,,,,Africa
Algeria,2013,2,7.5,6,2,6,6,4,5,4.800000190734863,7.25,5,4.25,2.5,5,,,,,,,,,,,,,Africa
Algeria,2015,2,7.5,5,2,5,6,4,5,4.800000190734863,7.25,4.5,4.25,3,5,,,,,,,,,,,,,Africa
Algeria,2017,2,8,5,2,5,6,4,5,4.75,7.5,4.5,4.25,2.5,5,,,,,,,,,,,,,Africa
Algeria,2019,2,8,5,2,5,5,4,5,4.7,7.5,4.25,4.25,2.5,5,,,,,,,,,,,,,Africa
Algeria,2021,2,8.5,4,2,5,4,4,5,4.65,7.75,3.75,4.25,2.5,5,,,,,,,,,,,,,Africa
