Entity,Year,Projected growth rate (UN Population Division (2015 revision))
Least developed countries,2020,2.30
Least developed countries,2025,2.19
Least developed countries,2030,2.08
Least developed countries,2035,1.97
Least developed countries,2040,1.85
Least developed countries,2045,1.73
Least developed countries,2050,1.61
Least developed countries,2055,1.50
Least developed countries,2060,1.38
Least developed countries,2065,1.27
Least developed countries,2070,1.17
Least developed countries,2075,1.06
Least developed countries,2080,0.96
Least developed countries,2085,0.86
Least developed countries,2090,0.77
Least developed countries,2095,0.68
Least developed countries,2100,0.60
Less developed regions,2020,1.25
Less developed regions,2025,1.12
Less developed regions,2030,1.00
Less developed regions,2035,0.91
Less developed regions,2040,0.82
Less developed regions,2045,0.74
Less developed regions,2050,0.66
Less developed regions,2055,0.57
Less developed regions,2060,0.50
Less developed regions,2065,0.43
Less developed regions,2070,0.38
Less developed regions,2075,0.33
Less developed regions,2080,0.29
Less developed regions,2085,0.24
Less developed regions,2090,0.21
Less developed regions,2095,0.18
Less developed regions,2100,0.14
More developed regions,2020,0.24
More developed regions,2025,0.17
More developed regions,2030,0.11
More developed regions,2035,0.05
More developed regions,2040,0.01
More developed regions,2045,-0.01
More developed regions,2050,-0.02
More developed regions,2055,-0.04
More developed regions,2060,-0.05
More developed regions,2065,-0.05
More developed regions,2070,-0.04
More developed regions,2075,-0.02
More developed regions,2080,-0.00
More developed regions,2085,0.01
More developed regions,2090,0.02
More developed regions,2095,0.02
More developed regions,2100,0.01
