Entity,Year,Renewable Energy Capacity by Region (IRENA (2017))
Africa,2000,21187
Africa,2001,21356
Africa,2002,21731
Africa,2003,21819
Africa,2004,22447
Africa,2005,22597
Africa,2006,22613
Africa,2007,23050
Africa,2008,23690
Africa,2009,25190
Africa,2010,26778
Africa,2011,27197
Africa,2012,28531
Africa,2013,30107
Africa,2014,32445
Africa,2015,34081
Africa,2016,38193
Asia,2000,173089
Asia,2001,177563
Asia,2002,182893
Asia,2003,195739
Asia,2004,212047
Asia,2005,228881
Asia,2006,248739
Asia,2007,274049
Asia,2008,310900
Asia,2009,345558
Asia,2010,385966
Asia,2011,432109
Asia,2012,479667
Asia,2013,552588
Asia,2014,626232
Asia,2015,717840
Asia,2016,811591
Central America and the Caribbean,2000,5509
Central America and the Caribbean,2001,5631
Central America and the Caribbean,2002,5692
Central America and the Caribbean,2003,6074
Central America and the Caribbean,2004,6051
Central America and the Caribbean,2005,6462
Central America and the Caribbean,2006,6526
Central America and the Caribbean,2007,6869
Central America and the Caribbean,2008,7044
Central America and the Caribbean,2009,7221
Central America and the Caribbean,2010,7539
Central America and the Caribbean,2011,8376
Central America and the Caribbean,2012,9169
Central America and the Caribbean,2013,9571
Central America and the Caribbean,2014,10268
Central America and the Caribbean,2015,11879
Central America and the Caribbean,2016,13267
Eurasia,2000,60205
Eurasia,2001,61094
Eurasia,2002,61824
Eurasia,2003,62601
Eurasia,2004,63063
Eurasia,2005,63576
Eurasia,2006,64112
Eurasia,2007,65405
Eurasia,2008,66345
Eurasia,2009,67753
Eurasia,2010,69699
Eurasia,2011,71572
Eurasia,2012,76630
Eurasia,2013,80881
Eurasia,2014,84324
Eurasia,2015,88533
Eurasia,2016,91202
Europe,2000,191185
Europe,2001,196732
Europe,2002,204211
Europe,2003,212399
Europe,2004,222267
Europe,2005,234956
Europe,2006,245708
Europe,2007,258465
Europe,2008,275438
Europe,2009,296759
Europe,2010,323075
Europe,2011,360269
Europe,2012,394683
Europe,2013,420873
Europe,2014,442077
Europe,2015,466028
Europe,2016,486693
Middle East,2000,3930
Middle East,2001,3930
Middle East,2002,4656
Middle East,2003,6150
Middle East,2004,8486
Middle East,2005,9595
Middle East,2006,10498
Middle East,2007,11415
Middle East,2008,11930
Middle East,2009,12016
Middle East,2010,12854
Middle East,2011,13281
Middle East,2012,14135
Middle East,2013,14480
Middle East,2014,14797
Middle East,2015,15972
Middle East,2016,16440
North America,2000,173004
North America,2001,173401
North America,2002,176853
North America,2003,179654
North America,2004,180944
North America,2005,183865
North America,2006,189153
North America,2007,197147
North America,2008,207089
North America,2009,219678
North America,2010,231509
North America,2011,242161
North America,2012,263998
North America,2013,271269
North America,2014,286941
North America,2015,305736
North America,2016,329703
Oceania,2000,14432
Oceania,2001,14699
Oceania,2002,14863
Oceania,2003,15057
Oceania,2004,15422
Oceania,2005,15965
Oceania,2006,16129
Oceania,2007,16851
Oceania,2008,17172
Oceania,2009,17727
Oceania,2010,18405
Oceania,2011,19785
Oceania,2012,21318
Oceania,2013,22147
Oceania,2014,23763
Oceania,2015,25233
Oceania,2016,25998
South America,2000,113656
South America,2001,115979
South America,2002,118937
South America,2003,122530
South America,2004,127282
South America,2005,127511
South America,2006,131837
South America,2007,135963
South America,2008,138601
South America,2009,141446
South America,2010,147265
South America,2011,151268
South America,2012,156015
South America,2013,161624
South America,2014,169331
South America,2015,179880
South America,2016,193118
