Entity,Year,Renewable Energy Capacity by Technology (IRENA (2017))
Bioenergy,2000,32537.5
Bioenergy,2001,34572.1
Bioenergy,2002,36772
Bioenergy,2003,40247.4
Bioenergy,2004,43674.3
Bioenergy,2005,45122.2
Bioenergy,2006,49373.2
Bioenergy,2007,52499.2
Bioenergy,2008,56899.4
Bioenergy,2009,63701.4
Bioenergy,2010,69412.9
Bioenergy,2011,74739.8
Bioenergy,2012,81412.2
Bioenergy,2013,88794.1
Bioenergy,2014,94516.4
Bioenergy,2015,101107.7
Bioenergy,2016,109731.4
Geothermal,2000,8328.7
Geothermal,2001,8009.7
Geothermal,2002,8201.9
Geothermal,2003,8357.8
Geothermal,2004,8308.5
Geothermal,2005,8689.7
Geothermal,2006,8921.8
Geothermal,2007,9143.5
Geothermal,2008,9463.5
Geothermal,2009,9903.4
Geothermal,2010,10124.8
Geothermal,2011,10015.4
Geothermal,2012,10482
Geothermal,2013,10787
Geothermal,2014,11457.5
Geothermal,2015,11847.9
Geothermal,2016,12628.3
Hydropower,2000,781804.2
Hydropower,2001,789062.5
Hydropower,2002,802525.9
Hydropower,2003,821057.8
Hydropower,2004,845374.7
Hydropower,2005,868653.9
Hydropower,2006,892398.6
Hydropower,2007,924191.5
Hydropower,2008,958202.1
Hydropower,2009,991919
Hydropower,2010,1024581.2
Hydropower,2011,1056283
Hydropower,2012,1089474
Hydropower,2013,1132760.8
Hydropower,2014,1170106.8
Hydropower,2015,1207852.6
Hydropower,2016,1242960.9
Marine,2000,265.1
Marine,2001,265.1
Marine,2002,265.1
Marine,2003,265.1
Marine,2004,265.1
Marine,2005,265.1
Marine,2006,265.1
Marine,2007,267.4
Marine,2008,267.4
Marine,2009,269.1
Marine,2010,270.7
Marine,2011,525.1
Marine,2012,527.7
Marine,2013,526.5
Marine,2014,527.3
Marine,2015,533.4
Marine,2016,536.5
Solar,2000,1226.5
Solar,2001,1336.9
Solar,2002,1642.6
Solar,2003,2360
Solar,2004,3449.4
Solar,2005,4903.4
Solar,2006,6506.7
Solar,2007,9157.1
Solar,2008,15187.8
Solar,2009,23359.9
Solar,2010,40163.5
Solar,2011,71472.9
Solar,2012,101938.1
Solar,2013,139284.1
Solar,2014,176707.4
Solar,2015,224790.9
Solar,2016,295663.8
Wind,2000,17329.6
Wind,2001,23969.1
Wind,2002,30858.4
Wind,2003,38667.8
Wind,2004,47115.1
Wind,2005,58517.4
Wind,2006,73280.7
Wind,2007,93552.7
Wind,2008,119665.6
Wind,2009,150141.7
Wind,2010,182683.6
Wind,2011,222052.4
Wind,2012,271713.7
Wind,2013,303674.7
Wind,2014,350224.7
Wind,2015,415304
Wind,2016,466504.7
