Entity,Year,Share of Top 1% in Pre-tax national income
Argentina,1932,0.1877
Argentina,1933,0.1718
Argentina,1934,0.1806
Argentina,1935,0.1844
Argentina,1936,0.204
Argentina,1937,0.2044
Argentina,1938,0.2047
Argentina,1939,0.2088
Argentina,1940,0.2011
Argentina,1941,0.2243
Argentina,1942,0.2377
Argentina,1943,0.2596
Argentina,1944,0.2475
Argentina,1945,0.2339
Argentina,1946,0.2263
Argentina,1947,0.2402
Argentina,1948,0.2322
Argentina,1949,0.1934
Argentina,1950,0.1981
Argentina,1951,0.1696
Argentina,1952,0.1596
Argentina,1953,0.1535
Argentina,1954,0.1654
Argentina,1956,0.1566
Argentina,1958,0.1417
Argentina,1959,0.1592
Argentina,1961,0.1468
Argentina,1997,0.1239
Argentina,1998,0.1257
Argentina,1999,0.1353
Argentina,2000,0.1434
Argentina,2001,0.1291
Argentina,2002,0.1553
Argentina,2003,0.1685
Argentina,2004,0.1675
Australia,1921,0.1163
Australia,1922,0.1068
Australia,1923,0.1176
Australia,1924,0.1167
Australia,1925,0.1131
Australia,1926,0.1107
Australia,1927,0.1168
Australia,1928,0.1185
Australia,1929,0.1067
Australia,1930,0.0975
Australia,1931,0.0934
Australia,1932,0.0927
Australia,1933,0.1032
Australia,1934,0.1036
Australia,1935,0.1054
Australia,1936,0.1128
Australia,1937,0.0983
Australia,1938,0.1039
Australia,1939,0.1073
Australia,1940,0.103
Australia,1941,0.1078
Australia,1942,0.1043
Australia,1943,0.1045
Australia,1944,0.0903
Australia,1945,0.0844
Australia,1946,0.0951
Australia,1947,0.1062
Australia,1948,0.108
Australia,1949,0.1126
Australia,1950,0.1413
Australia,1951,0.0908
Australia,1952,0.0899
Australia,1953,0.0871
Australia,1954,0.0806
Australia,1955,0.0754
Australia,1956,0.0791
Australia,1957,0.0704
Australia,1958,0.0744
Australia,1959,0.0693
Australia,1960,0.0667
Australia,1961,0.0669
Australia,1962,0.068
Australia,1963,0.0695
Australia,1964,0.0647
Australia,1965,0.0633
Australia,1966,0.0614
Australia,1967,0.0623
Australia,1968,0.0603
Australia,1969,0.0591
Australia,1970,0.0557
Australia,1971,0.0557
Australia,1972,0.0573
Australia,1973,0.054
Australia,1974,0.0497
Australia,1975,0.0489
Australia,1976,0.0475
Australia,1977,0.047
Australia,1978,0.0465
Australia,1979,0.0461
Australia,1980,0.0457
Australia,1981,0.0441
Australia,1982,0.0448
Australia,1983,0.0449
Australia,1984,0.0454
Australia,1985,0.0481
Australia,1986,0.0519
Australia,1987,0.0603
Australia,1988,0.0703
Australia,1989,0.059
Australia,1990,0.0569
Australia,1991,0.0586
Australia,1992,0.0598
Australia,1993,0.0622
Australia,1994,0.0646
Australia,1995,0.064
Australia,1996,0.0644
Australia,1997,0.0688
Australia,1998,0.0703
Australia,1999,0.0787
Australia,2000,0.0819
Australia,2001,0.0757
Australia,2002,0.0789
Australia,2003,0.0809
Australia,2004,0.0839
Australia,2005,0.0869
Australia,2006,0.095
Australia,2007,0.0909
Australia,2008,0.0808
Australia,2009,0.084
Australia,2010,0.0859
Australia,2011,0.0824
Australia,2012,0.0854
Australia,2013,0.0907
Australia,2014,0.091
Bahrain,1995,0.188903679
Bahrain,2005,0.179598069
Bahrain,2015,0.182357816
Brazil,2001,0.262107828
Brazil,2002,0.274151298
Brazil,2003,0.271991344
Brazil,2004,0.273154361
Brazil,2005,0.279042959
Brazil,2006,0.282252138
Brazil,2007,0.282933815
Brazil,2008,0.29285574
Brazil,2009,0.274428243
Brazil,2010,0.281902
Brazil,2011,0.296147885
Brazil,2012,0.277312293
Brazil,2013,0.276511795
Brazil,2014,0.2752179
Brazil,2015,0.28349236
Canada,1920,0.14403
Canada,1921,0.17602
Canada,1922,0.15169
Canada,1923,0.14384
Canada,1924,0.14534
Canada,1925,0.13176
Canada,1926,0.14011
Canada,1927,0.14691
Canada,1928,0.15315
Canada,1929,0.15642
Canada,1930,0.16102
Canada,1931,0.16603
Canada,1932,0.1767
Canada,1933,0.18033
Canada,1934,0.17504
Canada,1935,0.16987
Canada,1936,0.17448
Canada,1937,0.16257
Canada,1938,0.18405
Canada,1939,0.16883
Canada,1940,0.14706
Canada,1941,0.13297
Canada,1942,0.11297
Canada,1943,0.10718
Canada,1944,0.10009
Canada,1945,0.10121
Canada,1946,0.10724
Canada,1947,0.10993
Canada,1948,0.1039
Canada,1949,0.10685
Canada,1950,0.10878
Canada,1951,0.10032
Canada,1952,0.09845
Canada,1953,0.09876
Canada,1954,0.10331
Canada,1955,0.10189
Canada,1956,0.09625
Canada,1957,0.09639
Canada,1958,0.09889
Canada,1959,0.09735
Canada,1960,0.09768
Canada,1961,0.09926
Canada,1962,0.09371
Canada,1963,0.09142
Canada,1964,0.09382
Canada,1965,0.09201
Canada,1966,0.08908
Canada,1967,0.08997
Canada,1968,0.09035
Canada,1969,0.09008
Canada,1970,0.08969
Canada,1971,0.08866
Canada,1972,0.08916
Canada,1973,0.08982
Canada,1974,0.08967
Canada,1975,0.08911
Canada,1976,0.08288
Canada,1977,0.08011
Canada,1978,0.08101
Canada,1979,0.08457
Canada,1980,0.08884
Canada,1981,0.08546
Canada,1982,0.08892
Canada,1983,0.08762
Canada,1984,0.08727
Canada,1985,0.0888
Canada,1986,0.09153
Canada,1987,0.0988
Canada,1988,0.10741
Canada,1989,0.11903
Canada,1990,0.10182
Canada,1991,0.10288
Canada,1992,0.1047
Canada,1993,0.112879379
Canada,1994,0.113878746
Canada,1995,0.108972157
Canada,1996,0.115042975
Canada,1997,0.124583395
Canada,1998,0.129923403
Canada,1999,0.132473634
Canada,2000,0.146217248
Canada,2001,0.138454952
Canada,2002,0.133463141
Canada,2003,0.132286008
Canada,2004,0.139682317
Canada,2005,0.147289661
Canada,2006,0.154264456
Canada,2007,0.156315968
Canada,2008,0.143774376
Canada,2009,0.132984428
Canada,2010,0.136232517
China,1978,0.063478887
China,1979,0.06370347
China,1980,0.064187542
China,1981,0.067104585
China,1982,0.069399282
China,1983,0.071132049
China,1984,0.07454899
China,1985,0.080038399
China,1986,0.079655349
China,1987,0.078705132
China,1988,0.080020972
China,1989,0.082057364
China,1990,0.080959193
China,1991,0.083179466
China,1992,0.0875099
China,1993,0.09195184
China,1994,0.094384111
China,1995,0.092890687
China,1996,0.095508173
China,1997,0.095521927
China,1998,0.098411001
China,1999,0.099266104
China,2000,0.103726216
China,2001,0.108681694
China,2002,0.125493109
China,2003,0.131317466
China,2004,0.138194114
China,2005,0.141979486
China,2006,0.147670224
China,2007,0.152671307
China,2008,0.151804045
China,2009,0.154133409
China,2010,0.151230261
China,2011,0.14589484
China,2012,0.137501657
China,2013,0.13814187
China,2014,0.136609092
China,2015,0.139237702
Colombia,1993,0.204788702
Colombia,1994,0.20538325
Colombia,1995,0.207621314
Colombia,1996,0.212977337
Colombia,1997,0.208510277
Colombia,1998,0.197738538
Colombia,1999,0.18099165
Colombia,2000,0.173173398
Colombia,2001,0.173135309
Colombia,2002,0.179553027
Colombia,2003,0.199190504
Colombia,2004,0.178047909
Colombia,2005,0.187993946
Colombia,2006,0.199389533
Colombia,2007,0.204946647
Colombia,2008,0.20254848
Colombia,2009,0.201652731
Colombia,2010,0.204471701
Cote d'Ivoire,1988,0.207835369
Cote d'Ivoire,1993,0.149875765
Cote d'Ivoire,1998,0.175809862
Cote d'Ivoire,2002,0.21027941
Cote d'Ivoire,2008,0.18289654
Cote d'Ivoire,2014,0.170803556
Denmark,1870,0.194464577
Denmark,1903,0.162113552
Denmark,1908,0.164519942
Denmark,1915,0.240168985
Denmark,1917,0.27613211
Denmark,1918,0.260760414
Denmark,1919,0.212834738
Denmark,1920,0.153191345
Denmark,1921,0.127803359
Denmark,1922,0.127505081
Denmark,1923,0.138596248
Denmark,1924,0.137809858
Denmark,1925,0.125421536
Denmark,1926,0.120962961
Denmark,1927,0.129592134
Denmark,1928,0.132515658
Denmark,1929,0.132915266
Denmark,1930,0.132824268
Denmark,1931,0.13438573
