Entity,Year,Minimum population threshold for urban area (UN; 2018)
Albania,2018,400
Algeria,2018,5000
American Samoa,2018,2500
Argentina,2018,2000
Australia,2018,10000
Bahrain,2018,2500
Bangladesh,2018,5000
Belgium,2018,5000
Benin,2018,10000
Bhutan,2018,1500
Bolivia,2018,2000
Botswana,2018,5000
Cambodia,2018,2000
Cameroon,2018,5000
Canada,2018,1000
Central African Republic,2018,3000
Colombia,2018,2000
Comoros,2018,5000
Cote d'Ivoire,2018,10000
Croatia,2018,2000
Cuba,2018,2000
Czech Republic,2018,2000
Democratic Republic of Congo,2018,2000
Denmark,2018,200
Dominica,2018,1000
Equatorial Guinea,2018,1500
Eritrea,2018,2000
Ethiopia,2018,2000
Fiji,2018,1000
France,2018,2000
French Polynesia,2018,5000
Gabon,2018,3000
Gambia,2018,5000
Ghana,2018,5000
Greece,2018,10000
Greenland,2018,200
Guadeloupe,2018,2000
Guam,2018,2500
Honduras,2018,2000
Iceland,2018,200
India,2018,5000
Iran,2018,5000
Ireland,2018,1500
Israel,2018,2000
Italy,2018,10000
Japan,2018,50000
Jordan,2018,5000
Kenya,2018,2000
Kuwait,2018,10000
Laos,2018,600
Lebanon,2018,5000
Liberia,2018,2000
Luxembourg,2018,2000
Madagascar,2018,5000
Malaysia,2018,10000
Mali,2018,30000
Malta,2018,2500
Martinique,2018,2000
Mauritania,2018,5000
Mayotte,2018,5000
Mexico,2018,2500
Micronesia (country),2018,1000
Netherlands,2018,20000
New Zealand,2018,1000
Nicaragua,2018,1000
Nigeria,2018,20000
Norway,2018,2000
Oman,2018,2500
Palestine,2018,10000
Panama,2018,1500
Papua New Guinea,2018,500
Philippines,2018,2500
Portugal,2018,2000
Puerto Rico,2018,2500
Qatar,2018,5000
Reunion,2018,2000
San Marino,2018,1000
Saudi Arabia,2018,5000
Senegal,2018,10000
Sierra Leone,2018,2000
Slovakia,2018,5000
Slovenia,2018,3000
Solomon Islands,2018,1000
Somalia,2018,1500
South Sudan,2018,5000
Spain,2018,10000
Sudan,2018,5000
Sweden,2018,200
Switzerland,2018,10000
Syria,2018,20000
Tunisia,2018,5000
Uganda,2018,2000
United Kingdom,2018,10000
United States,2018,2500
United States Virgin Islands,2018,2500
Venezuela,2018,2500
Vietnam,2018,4000
Zambia,2018,5000
Zimbabwe,2018,2500
