Entity,Year,Urban population living in slums,Urban population not living in slums
Afghanistan,2014,5398133,3211330
Algeria,1990,1592582,11903874
Angola,2000,4610435,719548
Angola,2005,6117245,954714
Angola,2007,6035609,1885138
Angola,2009,5831029,3030717
Angola,2014,6465507,5184055
Antigua and Barbuda,1990,1630,21998
Antigua and Barbuda,2005,1252,24827
Arab World,2005,46999121,125054232
Arab World,2014,72698901,151609927
Argentina,1990,8683239,19786397
Argentina,1995,9780346,21072482
Argentina,2000,10868105,22165649
Argentina,2005,9239121,26024700
Argentina,2007,8495501,27655568
Argentina,2009,7705115,29338707
Argentina,2014,6575255,32797532
Armenia,2014,262866,1562589
Bangladesh,1990,18365329,2671703
Bangladesh,1995,21811166,3939916
Bangladesh,2000,24149132,6890883
Bangladesh,2005,27224330,11228114
Bangladesh,2007,27504573,14043120
Bangladesh,2009,27534331,17164258
Bangladesh,2014,29437876,23988397
Belize,2007,25541,111043
Belize,2014,16760,138421
Benin,1990,1361449,355385
Benin,1995,1667148,503617
Benin,2000,1955520,676405
Benin,2005,2291463,899990
Benin,2007,2436479,1004875
Benin,2009,2588578,1119987
Benin,2014,2752838,1723322
Bhutan,1990,61634,26415
Bolivia,1990,2370128,1440367
Bolivia,1995,2615873,1878755
Bolivia,2000,2800063,2356591
Bolivia,2005,2952414,2905551
Bolivia,2007,2999618,3147140
Bolivia,2009,3046070,3393825
Bolivia,2014,3129203,4064367
Botswana,1990,342058,235742
Brazil,1990,40518302,69885791
Brazil,1995,42951815,83006586
Brazil,2000,44830642,97488856
Brazil,2005,44901027,109930100
Brazil,2007,44634214,114773694
Brazil,2009,44061767,119736624
Brazil,2014,38905786,135559620
Burkina Faso,1990,959188,258056
Burkina Faso,1995,1105330,421369
Burkina Faso,2000,1365001,706320
Burkina Faso,2005,1719955,1170726
Burkina Faso,2007,1964212,1336984
Burkina Faso,2014,3358533,1745621
Burundi,2005,447485,248448
Burundi,2007,503571,279588
Burundi,2014,673593,489780
Cambodia,2005,2007554,536874
Cambodia,2014,1726090,1406560
Cameroon,1990,2360119,2285785
Cameroon,1995,2842452,2888297
Cameroon,2000,3366797,3589395
Cameroon,2005,4008252,4447976
Cameroon,2007,4263923,4886127
Cameroon,2009,4562334,5334270
Cameroon,2014,4524393,7444901
Cape Verde,1990,106040,44799
Caribbean small states,2005,1274073,1555986
Central African Republic,1990,947252,135322
Central African Republic,1995,1119697,128572
Central African Republic,2000,1298859,114480
Central African Republic,2005,1478622,92708
Central African Republic,2007,1556481,81920
Central African Republic,2009,1632020,69774
Central African Republic,2014,1674992,120283
Chad,1990,1226045,13637
Chad,1995,1449147,54118
Chad,2000,1694969,110110
Chad,2005,2003769,190940
Chad,2007,2127858,228574
Chad,2009,2253058,269963
Chad,2014,2673825,357723
Chile,2005,1270753,12848724
China,1990,130872209,169293409
China,1995,151079239,221955918
China,2000,168968682,284030465
China,2005,182387012,371980806
China,2007,184657961,411012880
China,2009,185485521,451921767
China,2014,187059425,555239882
Colombia,1990,7300567,16098687
Colombia,1995,7075893,19326692
Colombia,2000,6494017,22627136
Colombia,2005,5701150,26148852
Colombia,2007,5298860,27613316
Colombia,2009,4854584,29093557
Colombia,2014,4768242,31630555
Comoros,1990,75018,39689
Comoros,1995,87990,46551
Comoros,2000,99600,52694
Comoros,2005,117460,53019
Comoros,2007,123123,55575
Comoros,2014,149009,65084
Congo,2005,1210942,1056740
Congo,2007,1272346,1188672
Congo,2009,1332697,1338039
Congo,2014,1483973,1680148
Costa Rica,2005,304057,2485458
Costa Rica,2014,198644,3413069
Cote d'Ivoire,1990,2577483,2249265
Cote d'Ivoire,1995,3253804,2738468
Cote d'Ivoire,2000,4017819,3247677
Cote d'Ivoire,2005,4826451,3761540
Cote d'Ivoire,2007,5214003,3998017
Cote d'Ivoire,2009,5659137,4269173
Cote d'Ivoire,2014,6747743,5301798
Democratic Republic of Congo,2005,15677095,4842663
Democratic Republic of Congo,2007,15520125,6940259
Democratic Republic of Congo,2009,15185856,9426553
Democratic Republic of Congo,2014,23147539,7798369
Djibouti,2014,462320,242436
Dominica,1990,7427,37312
Dominican Republic,1990,1106860,2860381
Dominican Republic,1995,1109156,3436564
Dominican Republic,2000,1110286,4176791
Dominican Republic,2005,1095212,5127582
Dominican Republic,2007,1078040,5576528
Dominican Republic,2009,1048673,6036956
Dominican Republic,2014,982872,7140034
Early-demographic dividend,1990,345729329,364999436
Early-demographic dividend,1995,368017911,458915037
Early-demographic dividend,2000,373301333,575970587
Early-demographic dividend,2005,357746783,722520580
Early-demographic dividend,2007,358093896,778315963
Early-demographic dividend,2009,372474581,822395459
Early-demographic dividend,2014,365633057,983303891
East Asia & Pacific,1990,282690290,322776564
East Asia & Pacific,1995,300585278,414634446
East Asia & Pacific,2000,316146031,517708548
East Asia & Pacific,2005,325185661,656435839
East Asia & Pacific,2007,318472320,722303969
East Asia & Pacific,2009,318659509,781975309
East Asia & Pacific,2014,322343897,927485767
East Asia & Pacific (excluding high income),1990,210687750,240563862
East Asia & Pacific (excluding high income),1995,232273144,320403070
East Asia & Pacific (excluding high income),2000,252059536,412762974
East Asia & Pacific (excluding high income),2005,264595765,534126081
East Asia & Pacific (excluding high income),2007,261179306,592361840
East Asia & Pacific (excluding high income),2009,263218253,645925097
East Asia & Pacific (excluding high income),2014,270967563,779659738
East Asia & Pacific (IDA & IBRD),1990,202307339,237068800
East Asia & Pacific (IDA & IBRD),1995,226836762,312903998
East Asia & Pacific (IDA & IBRD),2000,246880448,404281899
East Asia & Pacific (IDA & IBRD),2005,259847780,524541563
East Asia & Pacific (IDA & IBRD),2007,256727835,582265779
East Asia & Pacific (IDA & IBRD),2009,258950903,635453222
East Asia & Pacific (IDA & IBRD),2014,267026813,768320947
Ecuador,2005,1822372,6653778
Ecuador,2014,3636368,6464653
Egypt,1990,12530765,12430918
Egypt,1995,10693241,16585436
Egypt,2000,8406864,21510802
Egypt,2005,5649042,27386292
Egypt,2007,4933880,29329178
Egypt,2009,4649468,30842653
Egypt,2014,4191532,35351222
El Salvador,2005,1074136,2642598
Equatorial Guinea,2005,195096,99167
Equatorial Guinea,2014,297247,151767
Eritrea,1990,343840,148063
Ethiopia,1990,5795894,273105
Ethiopia,1995,7567646,356591
Ethiopia,2000,8689536,1118067
Ethiopia,2005,9853752,2192400
Ethiopia,2007,10325735,2728291
Ethiopia,2009,11035130,3408758
Ethiopia,2014,13691416,4835534
Fragile and conflict affected situations,2005,83137361,60665904
Fragile and conflict affected situations,2014,117959664,76958442
Gabon,2005,452984,717518
Gabon,2014,603237,1027133
Gambia,2005,343190,412735
Gambia,2007,289214,541862
Gambia,2014,393873,737947
Ghana,1990,3491598,1839086
Ghana,1995,3955859,2771792
Ghana,2000,4334516,3985093
Ghana,2005,4626757,5564337
Ghana,2007,4728529,6319437
Ghana,2009,4795690,7163636
Ghana,2014,5456028,8939824
Grenada,2005,2219,34756
Guatemala,1990,2232075,1576927
Guatemala,1995,2391624,2095476
Guatemala,2000,2528921,2728710
Guatemala,2005,2650215,3527443
Guatemala,2007,2684126,3894614
Guatemala,2009,2708356,4289979
Guatemala,2014,2808068,5331259
Guinea,1990,1361234,331843
Guinea,1995,1596179,723849
Guinea,2000,1565520,1166627
Guinea,2005,1451265,1724369
