Entity,Year,"Gross value added of Agriculture to GDP (GGDC, 2017)","Gross value added of Mining to GDP (GGDC, 2017)","Gross value added of Manufacturing to GDP (GGDC, 2017)","Gross value added of Utilities to GDP (GGDC, 2017)","Gross value added of Construction to GDP (GGDC, 2017)","Gross value added of Trade, Restaurants and Hotel to GDP (GGDC, 2017)","Gross value added of Transport, Storage and Communication to GDP (GGDC, 2017)","Gross value added of Finance, insurance, real estate and business services to GDP (GGDC, 2017)","Gross value added of government services to GDP (GGDC, 2017)","Gross value added of Community, social and personal services to GDP (GGDC, 2017)","Summation of all sectors GDP (GGDC, 2017)"
Argentina,1950,16178.5079995629,1993.1284327560,40415.9747143492,573.8698758560,9170.8238911902,24402.9913709942,7549.8402860933,6359.5689944543,23892.8304576725,7017.9885894505,137555.5246123790
Argentina,1951,17228.9530486143,2213.8762046022,41425.2649720347,581.8215597760,9995.7341554297,24741.1252969039,7654.4527533567,6447.6887662682,23892.8304576725,7115.2315871496,141296.9788018080
Argentina,1952,15245.5142867047,2175.4852877594,38394.6214235451,568.2126205561,7666.2198395457,24162.4247232655,7475.4133545380,6296.8758528334,23333.9716941452,6948.8046946118,132267.5437775050
Argentina,1953,19548.2552526388,2291.8402545277,37586.3136041021,592.6550652230,7280.7911072812,25149.4247720326,7780.7731613450,6393.7940847864,24337.7144681707,7247.7170526001,138209.2788227080
Argentina,1954,18884.2520171551,2372.9361404572,40819.5448818743,610.3189371786,7937.2905963031,25925.7542221554,8020.9553287158,6559.5383075467,25063.0913311809,7463.7326635350,143657.4144261020
Argentina,1955,19610.2288879506,2468.1356587222,44536.5808398971,618.0870825484,8290.9532242600,27708.9896043819,8572.6558200057,6806.7500296298,25382.0946014683,7558.7311254868,151553.2068743510
Argentina,1956,19231.3043749012,2552.7574527355,43852.1742190548,640.2535101006,7894.9357905597,27634.3425418700,8549.5613808354,6944.4020112443,26292.3714491675,7829.8095392090,151421.9122696780
Argentina,1957,19562.4206549958,2669.1124195038,46044.0454228730,646.8389747759,9364.6475498538,30206.5853839497,8830.8223005294,7020.1155303755,25756.4759801399,7908.3347737091,158009.3989907060
Argentina,1958,19845.7287021354,2838.3560075305,48480.7689953547,608.7896233185,9574.3038382834,31203.9856696541,9112.0832202234,7068.4006696962,25760.6626634917,7949.8687820398,162442.9481717280
Argentina,1959,19588.9807844151,3257.9390695133,42206.0582947876,583.9112012117,8051.6485718101,27965.8883432122,9243.0814567932,7115.4139608823,27121.3347528196,7977.1463716555,153111.4028071010
Argentina,1960,19774.9016903505,4174.6751713244,45347.8386878783,605.8627501295,8619.2029687710,30510.5023685134,9535.9010444199,7200.9730306081,26430.5319997762,8047.2141140648,160247.6038258360
Argentina,1961,19646.2426032305,5422.7739338853,49732.7387016499,708.6430380979,9108.4009751066,34466.3188325161,10193.5493923109,7437.0705070215,27605.2223108773,8133.6105846146,172454.5708793110
Argentina,1962,20431.0630346627,6068.3422593478,47484.4808764070,789.7853707045,8199.8903919118,34101.1665435313,9707.4614830001,7633.8184040327,27213.6588738436,8207.6647022286,169837.3319396700
Argentina,1963,20829.9062047349,6068.3422593478,45300.0034150008,838.4707702685,7687.3972424173,31119.0895168215,9421.5274186997,7751.8671422394,26234.7502812593,8195.3223492930,163446.6766000820
Argentina,1964,22283.7538891914,6154.4180360761,52156.3925274437,919.6131028751,8176.5952487530,32437.6950048224,10350.8131276761,7869.9158804461,27096.1898427335,8343.4305845211,175788.8172445390
Argentina,1965,23608.9424865278,6412.6453662611,58789.5503664583,1049.4408350457,8246.4806782295,35480.6307463630,11251.5054302225,8165.0377259628,27918.4730605043,8614.9623491062,189537.6690446810
Argentina,1966,22721.1947853995,6799.9863615387,58661.9896387849,1130.5831676523,8875.4495435182,35196.6234104859,11280.0988366526,8401.1352023762,28662.4435908684,8849.4670548841,190578.9715921610
Argentina,1967,23699.0038475118,7617.7062404579,59092.5070946825,1211.7255002590,9970.3212719837,35703.7793674093,11351.5823527277,8637.2326787895,29367.2577775291,8874.1517607555,195525.2678921060
Argentina,1968,22772.6584202475,8564.5397844696,63477.4071084541,1309.0962993869,11740.7521520556,37488.9683357798,11980.6372941887,9011.0536831107,30620.2607760370,8898.8364666268,205864.2103203570
Argentina,1969,24112.2265626150,8564.5397844696,71034.2412880320,1309.0962993869,14088.9025824667,40897.0563663052,13311.8192157652,9011.0536831107,30620.2607760370,8898.8364666268,221848.0330248150
Argentina,1970,25451.7947049825,8564.5397844696,75568.3417957787,1309.0962993869,16437.0530128778,42601.1003815679,14643.0011373417,9011.0536831107,32321.3863747057,9393.2162703283,235300.5834445500
Argentina,1971,24112.2265626150,12846.8096767044,83125.1759753566,1309.0962993869,16437.0530128778,46009.1884120933,14643.0011373417,9011.0536831107,34022.5119733744,9887.5960740298,251403.7128068910
Argentina,1972,22772.6584202475,12846.8096767044,87659.2764831033,1745.4617325159,16437.0530128778,47713.2324273560,14643.0011373417,9011.0536831107,34022.5119733744,9887.5960740298,256738.6546206620
Argentina,1973,25224.1060688861,12520.7485173971,91139.9210391868,1882.2029742337,14510.5931134479,48023.8149004389,15430.9653241045,9411.5449579157,35419.9160695147,10293.7085699455,263857.5215350710
Argentina,1974,25912.2317246442,12781.5974448429,96474.3871523148,1994.8134085896,15660.2546663335,51750.8045774334,15874.1951791586,10659.2293140387,36874.3570675383,10716.3970861027,278698.2676209970
Argentina,1975,25202.6021421436,12585.9607492586,94015.2361072558,2115.4674453995,16374.9091451542,52177.8554779223,15726.4518941406,9765.8257010123,39241.3884956942,11404.3019261233,278609.9990841040
Argentina,1976,26342.3102594931,12912.0219085658,91177.7541321877,2187.8598674854,18425.6567800312,49460.2588384472,15430.9653241045,9349.9309156380,39355.4622994608,11437.4539666062,276079.6742920200
Argentina,1977,27008.9319885089,14020.6298502103,98290.3756163584,2292.4266993872,20942.4834228348,52876.6660423588,16448.7523986731,10659.2293140387,39640.6468088772,11520.3340678135,293700.4762090610
Argentina,1978,27740.0654977519,14281.4787776561,87961.9412271106,2372.8627239271,20818.1956873877,48800.2710831461,16202.5135903097,11367.7908002320,40011.3866711185,11628.0781993829,281184.5842580230
Argentina,1979,28707.7422011619,15194.4500237163,96928.3842683257,2622.2144000008,21377.4904968997,54196.6415529610,17253.1325059934,12276.5979238278,40809.9032974844,11860.1424827634,301226.6991531340
Argentina,1980,26793.8927210844,15781.3601104693,93220.7411542367,2823.3044613506,22744.6555868177,57224.8206655190,17351.6280293388,13786.1419596309,41693.9752766751,12117.0707965060,303537.5907616290
Argentina,1981,27596.3285666107,15576.7616647848,82051.9262283745,2855.0689721666,19962.7406220209,52186.7035257161,16343.1502462416,14648.7852577734,41895.1781776924,12175.5442277370,285292.1874891180
Argentina,1982,29178.8066991835,15126.6450842787,79849.1250171808,2995.2065198842,18040.5428183566,47973.7952277776,16691.7598502752,14241.2148008316,42188.6977038822,12260.8466450622,278546.6403667130
Argentina,1983,29645.3391675127,15488.1023383214,85735.0872579254,3202.6100905062,17770.1915098244,50232.2615318271,17276.9259713316,14222.2138471281,43175.7754653432,12547.7104194543,289296.2175991740
Argentina,1984,29667.7327259925,15317.6036335843,88002.3921649081,3460.4631783066,15799.3304706243,53244.5840335196,18418.2074131082,14024.6039286108,44084.7391593504,12811.8727440744,294831.5294520790
Argentina,1985,29100.4292445041,14765.1878302360,79287.9428638166,3520.2551986661,13449.9775994791,47381.2580518525,18023.9465514036,13559.0805628732,42411.2044414777,12325.5113807765,273824.7937250860
Argentina,1986,29148.9486212104,13789.9352391396,88292.6587959585,3651.0502432026,16137.2696062896,50480.4446421622,19447.4357678741,14460.6758161080,43954.5490469275,12774.0369944544,292137.0047733270
Argentina,1987,28353.9772951774,14826.5673639414,89147.3327651625,3836.0318061898,18475.8084250935,50948.8902629198,20099.0037182702,14653.5354961993,45602.0457423156,13252.8312078283,299196.0240830980
Argentina,1988,30563.4750651846,15631.3212503006,85131.9777022984,3574.4417171169,17932.4022949437,48954.1185136013,19733.7936569017,14396.0725735158,45557.0709762058,13239.7606761413,294714.4344262100
Argentina,1989,28051.6642557000,15508.5621828899,78659.0318298741,3402.5396585833,13533.7865051241,45597.4419463189,19517.9877115476,13245.5648267642,45078.9181996708,13100.8002866276,275696.2974031000
Argentina,1990,30429.1137143058,15951.8588152065,75749.9151497910,3651.0502432026,10746.4645141567,45510.5778577016,18899.6206758213,12538.7293489911,44785.3986734810,13015.4978693024,271278.2268619600
Argentina,1991,31675.6884696815,16415.6152920915,83503.2593836266,3772.5027845578,14044.7504782501,52534.1598801853,20812.8233836723,14245.0149915724,46118.0720061009,13402.7983608678,296524.6850306060
Argentina,1992,31742.8691451209,18243.3614068736,93169.1381976056,4103.2273971713,16507.6508989788,58245.4737067721,23373.4439275858,15303.3681128616,48407.0508917910,14068.0196314606,323163.6033162210
Argentina,1993,32519.1791724208,20057.4676252767,97497.3361850463,4559.1415524126,18302.7835876329,60246.4500338490,24606.0278847045,16825.3445045182,50438.0166455884,14658.2573255336,339710.0045169830
Argentina,1994,34949.0538526142,22815.6784082281,101884.3614218130,5053.1349539039,19356.3956010500,64300.9011011288,27136.0499097733,19703.4862284184,50515.4599433731,15447.9498969226,361162.4713172250
Argentina,1995,36914.8942466427,26555.9162275307,94584.7681142551,5428.6623511281,17002.0041828499,59494.7512844803,27602.2754983303,19458.1023246911,51156.9058472255,15299.6466809807,353497.9267581140
Argentina,1996,36490.1694028923,27758.8270010685,100687.2617218560,5648.6905209674,18437.5411028726,64189.4878952740,29511.0025725840,21728.6341160865,52402.6548522467,15598.0354143424,372452.3046001910
Argentina,1997,36658.4347445669,27949.4974276890,109901.5895718040,6110.3481260826,21494.7082718325,71175.1594128323,32819.3840352410,24420.0410879245,53413.6076414366,17052.1216678735,400994.8919872830
Argentina,1998,39858.9361214083,26878.1732629140,111933.4018774320,6576.7650108697,23361.5789705948,73597.4151420353,35726.3002728576,28219.0908411135,53761.4885102079,17648.4111834380,417561.5611928710
Argentina,1999,40842.9705301415,25999.3198646373,103058.3509050130,6813.2340987659,21526.5550725089,68535.4283720897,35262.5575506775,28281.6922139345,55255.7412398652,17649.7527306915,403225.6025783250
Argentina,2000,40126.2649720744,27747.6851799738,99118.2051774315,7261.7759243818,19520.7447273475,66882.7465114930,35873.4996961900,28839.4876447760,56265.8855186347,17902.9654341394,399539.2607864420
Argentina,2001,40548.2676498940,29041.5865185962,91821.1353443502,7342.7990294588,17256.1293839710,61668.4487077294,34233.3072073742,26568.2354805509,56383.8649353453,17730.9164844270,382594.6907416970
Argentina,2002,39621.9196887904,27954.8772137836,81761.9273222249,7120.1530377720,11492.5590885310,51327.5115042159,31515.4786346279,21973.5505634912,56079.9242889085,15984.6928978448,344832.5942401900
Argentina,2003,42344.6636234146,28995.6081276907,94817.0079260331,7614.0765789692,15442.6551320164,57315.2993742995,34105.9072329551,19357.7668206422,57266.0864267381,16728.6743903946,373987.7456331530
Argentina,2004,41697.6752112606,28873.4034528861,106172.3459753740,8112.4619305027,19983.4081440747,64438.5375408167,38692.6908700815,18723.8893651150,58706.8967217814,18257.2254630092,403658.5346749020
