Entity,Year,US Violent victimization at school (rates per 1000 people 12+) (US Bureau of Justice Statistics (2017))
United States,1993,12.1
United States,1994,11.8
United States,1995,9.7
United States,1996,9.8
United States,1997,8
United States,1998,7.6
United States,1999,7.8
United States,2000,4.6
United States,2001,5.3
United States,2002,4.8
United States,2003,4.9
United States,2004,3.5
United States,2005,3.5
United States,2006,4.3
United States,2007,4
United States,2008,3.2
United States,2009,3.1
United States,2010,1.8
United States,2011,3.4
United States,2012,3
United States,2013,4.3
United States,2014,2.3
United States,2015,2.4
