Entity,Year,Trust people in neighborhood,Trust the national government in this country,Trust scientists in this country,Trust journalists in this country,Trust doctors and nurses in this country,Trust people who work at charitable organizations or ngos in this country,Trust traditional healers in this country,Trust science,Trust scientists to find accurate information about the world,Trust scientists to do work with intention of benefiting public
Albania,2020,50.9,41.4,41.9,53.8,66.7,50.1,39.9,64.7,60.7,61.7
Algeria,2020,66.3,47.8,78.4,47.1,79.9,63,71.6,84.4,81.2,77
Argentina,2020,65.3,43.9,79.7,50,87.2,58.9,15.2,81.4,77.3,80.2
Australia,2020,85.4,69.5,87,67.6,96.6,82.1,54,85.8,88.2,88.9
Austria,2020,86.6,73.4,95.1,73.4,96.5,81.1,59.7,89.5,91.4,90.6
Bahrain,2020,63.6,,56.7,47.4,80.7,65.6,50.5,80.2,78.2,77.6
Bangladesh,2020,84.8,83,66.1,60.4,88.1,63,20.5,73.5,71.1,75.7
Belgium,2020,87.9,54.9,96.8,75.5,98.1,75.4,57.3,93.4,91,91.7
Benin,2020,22.6,56.8,31.5,39.5,56.4,36.4,33.5,37.5,39.9,39.6
Bolivia,2020,57.2,42.3,54.4,47.7,67.3,50.6,34.3,71.5,66.9,65.2
Bosnia and Herzegovina,2020,77.9,24.8,69.3,45.4,80.2,66,32.4,77.8,72.2,62.6
Brazil,2020,44.9,40.6,63.2,50.5,77.8,57.8,26.9,75.9,66.1,64.7
Bulgaria,2020,70.4,40.4,76.7,52.3,83.2,54,42.5,81.9,80,81.9
Burkina Faso,2020,62,55.7,55.3,63.6,74.8,49.5,56.8,64.5,57.8,59.3
Cambodia,2020,74,83.8,68.5,73.7,86.1,75.8,57.2,81.4,80.2,77.1
Cameroon,2020,38.9,25.5,33.7,39.1,43.9,33.9,31.3,42.3,40.5,44.4
Canada,2020,84.2,72.6,88.1,71.5,94.7,80.9,56.5,89.3,88.7,87.7
Chile,2020,64.7,27.7,75.3,41.7,85.4,62.3,13.9,80.9,78.8,76.2
China,2020,79.4,,88.4,61.2,83.9,63.7,87.6,95.9,89,91.7
Colombia,2020,58.4,43,68.2,47.5,80.1,48.9,23,76,69.5,74.5
Congo,2020,42.5,51.5,40.5,46.6,51.7,49.1,39.4,46.3,51.6,54.5
